Level,Div Num,Div Name,Subject,Subgroup,Number Tested,Number of Students,2023-2024 Participation Rate
Div,5,Amherst County ,Reading,English Learners,29,30,96.7
Div,5,Amherst County ,Science,English Learners,11,11,100
Div,5,Amherst County ,Mathematics,Female,909,917,99.1
Div,5,Amherst County ,Reading,Female,909,914,99.5
Div,5,Amherst County ,Science,Female,245,245,100
Div,5,Amherst County ,Mathematics,Hispanic,109,109,100
Div,5,Amherst County ,Reading,Hispanic,106,106,100
Div,5,Amherst County ,Science,Hispanic,37,37,100
Div,5,Amherst County ,Mathematics,Male,1036,1043,99.3
Div,5,Amherst County ,Reading,Male,1032,1039,99.3
Div,5,Amherst County ,Science,Male,289,291,99.3
Div,5,Amherst County ,Mathematics,Multiple Races,173,174,99.4
Div,5,Amherst County ,Reading,Multiple Races,173,173,100
Div,5,Amherst County ,Science,Multiple Races,68,68,100
Div,5,Amherst County ,Mathematics,Students with Disabilities,325,328,99.1
Div,5,Amherst County ,Reading,Students with Disabilities,326,328,99.4
Div,5,Amherst County ,Science,Students with Disabilities,120,123,97.6
Div,5,Amherst County ,Mathematics,White,1247,1258,99.1
Div,5,Amherst County ,Reading,White,1249,1259,99.2
Div,5,Amherst County ,Science,White,539,547,98.5
Div,6,Appomattox County ,Mathematics,All Students,1207,1212,99.6
Div,6,Appomattox County ,Reading,All Students,1196,1209,98.9
Div,6,Appomattox County ,Science,All Students,513,522,98.3
Div,6,Appomattox County ,Mathematics,Asian,0,0,0
Div,6,Appomattox County ,Reading,Asian,0,0,0
Div,6,Appomattox County ,Science,Asian,0,0,0
Div,6,Appomattox County ,Mathematics,Black,243,244,99.6
Div,6,Appomattox County ,Reading,Black,242,245,98.8
Div,6,Appomattox County ,Science,Black,104,106,98.1
Div,6,Appomattox County ,Mathematics,Economically Disadvantaged,603,607,99.3
Div,6,Appomattox County ,Reading,Economically Disadvantaged,597,608,98.2
Div,6,Appomattox County ,Science,Economically Disadvantaged,248,256,96.9
Div,6,Appomattox County ,Mathematics,English Learners,23,23,100
Div,6,Appomattox County ,Reading,English Learners,20,20,100
Div,6,Appomattox County ,Science,English Learners,10,10,100
Div,6,Appomattox County ,Mathematics,Female,603,604,99.8
Div,6,Appomattox County ,Reading,Female,602,604,99.7
Div,6,Appomattox County ,Science,Female,185,185,100
Div,6,Appomattox County ,Mathematics,Hispanic,51,51,100
Div,6,Appomattox County ,Reading,Hispanic,48,48,100
Div,6,Appomattox County ,Science,Hispanic,18,18,100
Div,6,Appomattox County ,Mathematics,Male,604,608,99.3
Div,6,Appomattox County ,Reading,Male,594,605,98.2
Div,6,Appomattox County ,Science,Male,173,173,100
Div,6,Appomattox County ,Mathematics,Multiple Races,121,122,99.2
Div,6,Appomattox County ,Reading,Multiple Races,122,122,100
Div,6,Appomattox County ,Science,Multiple Races,56,57,98.2
Div,6,Appomattox County ,Mathematics,Students with Disabilities,156,157,99.4
Div,6,Appomattox County ,Reading,Students with Disabilities,156,159,98.1
Div,6,Appomattox County ,Science,Students with Disabilities,59,61,96.7
Div,6,Appomattox County ,Mathematics,White,790,793,99.6
Div,6,Appomattox County ,Reading,White,782,792,98.7
Div,6,Appomattox County ,Science,White,335,341,98.2
Div,7,Arlington County ,Mathematics,All Students,14009,14101,99.3
Div,7,Arlington County ,Reading,All Students,13734,13790,99.6
Div,7,Arlington County ,Science,All Students,5697,5770,98.7
Div,7,Arlington County ,Mathematics,Asian,1252,1258,99.5
Div,7,Arlington County ,Reading,Asian,1198,1200,99.8
Div,7,Arlington County ,Science,Asian,489,492,99.4
Div,7,Arlington County ,Mathematics,Black,1513,1527,99.1
Div,7,Arlington County ,Reading,Black,1510,1520,99.3
Div,7,Arlington County ,Science,Black,638,651,98
Div,7,Arlington County ,Mathematics,Economically Disadvantaged,4174,4213,99.1
Div,7,Arlington County ,Reading,Economically Disadvantaged,4053,4087,99.2
Div,7,Arlington County ,Science,Economically Disadvantaged,1744,1775,98.3
Div,7,Arlington County ,Mathematics,English Learners,4026,4042,99.6
Div,7,Arlington County ,Reading,English Learners,3677,3705,99.2
Div,7,Arlington County ,Science,English Learners,1367,1381,99
Div,7,Arlington County ,Mathematics,Female,6721,6763,99.4
Div,7,Arlington County ,Reading,Female,6584,6613,99.6
Div,7,Arlington County ,Science,Female,1895,1898,99.8
Div,7,Arlington County ,Mathematics,Hispanic,4046,4077,99.2
Div,7,Arlington County ,Reading,Hispanic,3843,3871,99.3
Div,7,Arlington County ,Science,Hispanic,1650,1675,98.5
Div,7,Arlington County ,Mathematics,Male,7263,7313,99.3
Div,7,Arlington County ,Reading,Male,7125,7152,99.6
Div,7,Arlington County ,Science,Male,2134,2139,99.8
Div,7,Arlington County ,Mathematics,Multiple Races,1147,1161,98.8
Div,7,Arlington County ,Reading,Multiple Races,1157,1159,99.8
Div,7,Arlington County ,Science,Multiple Races,451,458,98.5
Div,7,Arlington County ,Mathematics,Students with Disabilities,2106,2132,98.8
Div,7,Arlington County ,Reading,Students with Disabilities,2117,2132,99.3
Div,7,Arlington County ,Science,Students with Disabilities,866,893,97
Div,7,Arlington County ,Mathematics,White,6030,6057,99.6
Div,7,Arlington County ,Reading,White,6007,6021,99.8
Div,7,Arlington County ,Science,White,2459,2484,99
Div,8,Augusta County ,Mathematics,All Students,5193,5226,99.4
Div,8,Augusta County ,Reading,All Students,5191,5216,99.5
Div,8,Augusta County ,Science,All Students,2193,2218,98.9
Div,8,Augusta County ,Mathematics,Asian,57,57,100
Div,8,Augusta County ,Reading,Asian,54,54,100
Div,8,Augusta County ,Science,Asian,26,26,100
Div,8,Augusta County ,Mathematics,Black,196,198,99
Div,8,Augusta County ,Reading,Black,194,197,98.5
Div,8,Augusta County ,Science,Black,82,84,97.6
Div,8,Augusta County ,Mathematics,Economically Disadvantaged,2199,2222,99
Div,8,Augusta County ,Reading,Economically Disadvantaged,2200,2221,99.1
Div,8,Augusta County ,Science,Economically Disadvantaged,886,903,98.1
Div,8,Augusta County ,Mathematics,English Learners,231,231,100
Div,8,Augusta County ,Reading,English Learners,215,216,99.5
Div,8,Augusta County ,Science,English Learners,80,81,98.8
Div,8,Augusta County ,Mathematics,Female,2562,2579,99.3
Div,8,Augusta County ,Reading,Female,2564,2577,99.5
Div,8,Augusta County ,Science,Female,712,715,99.6
Div,8,Augusta County ,Mathematics,Hispanic,389,393,99
Div,8,Augusta County ,Reading,Hispanic,381,383,99.5
Div,8,Augusta County ,Science,Hispanic,152,154,98.7
Div,8,Augusta County ,Mathematics,Male,2631,2647,99.4
Div,8,Augusta County ,Reading,Male,2627,2639,99.5
Div,8,Augusta County ,Science,Male,755,756,99.9
Div,8,Augusta County ,Mathematics,Multiple Races,300,302,99.3
Div,8,Augusta County ,Reading,Multiple Races,301,303,99.3
Div,8,Augusta County ,Science,Multiple Races,116,118,98.3
Div,8,Augusta County ,Mathematics,Students with Disabilities,713,719,99.2
Div,8,Augusta County ,Reading,Students with Disabilities,715,720,99.3
Div,8,Augusta County ,Science,Students with Disabilities,292,294,99.3
Div,8,Augusta County ,Mathematics,White,4232,4257,99.4
Div,8,Augusta County ,Reading,White,4242,4260,99.6
Div,8,Augusta County ,Science,White,1810,1829,99
Div,9,Bath County ,Mathematics,All Students,248,264,93.9
Div,9,Bath County ,Reading,All Students,264,264,100
Div,9,Bath County ,Science,All Students,110,111,99.1
Div,9,Bath County ,Mathematics,Asian,0,0,0
Div,9,Bath County ,Reading,Asian,0,0,0
Div,9,Bath County ,Science,Asian,0,0,0
Div,9,Bath County ,Mathematics,Black,10,10,100
Div,9,Bath County ,Reading,Black,11,11,100
Div,9,Bath County ,Science,Black,0,0,0
Div,9,Bath County ,Mathematics,Economically Disadvantaged,127,132,96.2
Div,9,Bath County ,Reading,Economically Disadvantaged,133,133,100
Div,9,Bath County ,Science,Economically Disadvantaged,51,51,100
Div,9,Bath County ,Mathematics,Female,126,136,92.6
Div,9,Bath County ,Reading,Female,137,137,100
Div,9,Bath County ,Science,Female,35,35,100
Div,9,Bath County ,Mathematics,Hispanic,0,0,0
Div,9,Bath County ,Reading,Hispanic,0,0,0
Div,9,Bath County ,Science,Hispanic,0,0,0
Div,9,Bath County ,Mathematics,Male,122,128,95.3
Div,9,Bath County ,Reading,Male,127,127,100
Div,9,Bath County ,Science,Male,44,44,100
Div,9,Bath County ,Mathematics,Multiple Races,0,0,0
Div,9,Bath County ,Reading,Multiple Races,0,0,0
Div,9,Bath County ,Science,Multiple Races,0,0,0
Div,9,Bath County ,Mathematics,Students with Disabilities,58,58,100
Div,9,Bath County ,Reading,Students with Disabilities,58,58,100
Div,9,Bath County ,Science,Students with Disabilities,18,18,100
Div,9,Bath County ,Mathematics,White,227,242,93.8
Div,9,Bath County ,Reading,White,240,240,100
Div,9,Bath County ,Science,White,100,101,99
Div,10,Bedford County ,Mathematics,All Students,4594,4630,99.2
Div,10,Bedford County ,Reading,All Students,4579,4613,99.3
Div,10,Bedford County ,Science,All Students,1349,1380,97.8
Div,10,Bedford County ,Mathematics,Asian,81,84,96.4
Div,10,Bedford County ,Reading,Asian,85,85,100
Div,10,Bedford County ,Science,Asian,28,29,96.6
Div,10,Bedford County ,Mathematics,Black,368,370,99.5
Div,10,Bedford County ,Reading,Black,370,370,100
Div,10,Bedford County ,Science,Black,131,132,99.2
Div,10,Bedford County ,Mathematics,Economically Disadvantaged,1881,1895,99.3
Div,10,Bedford County ,Reading,Economically Disadvantaged,1872,1893,98.9
Div,10,Bedford County ,Science,Economically Disadvantaged,520,539,96.5
Div,10,Bedford County ,Mathematics,English Learners,66,66,100
Div,10,Bedford County ,Reading,English Learners,53,53,100
Div,10,Bedford County ,Science,English Learners,13,13,100
Div,10,Bedford County ,Mathematics,Female,2241,2259,99.2
Div,10,Bedford County ,Reading,Female,2237,2249,99.5
Div,10,Bedford County ,Science,Female,334,334,100
Div,10,Bedford County ,Mathematics,Hispanic,227,227,100
Div,10,Bedford County ,Reading,Hispanic,218,218,100
Div,10,Bedford County ,Science,Hispanic,57,57,100
Div,10,Bedford County ,Mathematics,Male,2351,2369,99.2
Div,10,Bedford County ,Reading,Male,2340,2362,99.1
Div,10,Bedford County ,Science,Male,332,332,100
Div,10,Bedford County ,Mathematics,Multiple Races,297,299,99.3
Div,10,Bedford County ,Reading,Multiple Races,295,299,98.7
Div,10,Bedford County ,Science,Multiple Races,69,72,95.8
Div,10,Bedford County ,Mathematics,Students with Disabilities,498,507,98.2
Div,10,Bedford County ,Reading,Students with Disabilities,493,508,97
Div,10,Bedford County ,Science,Students with Disabilities,147,158,93
Div,10,Bedford County ,Mathematics,White,3611,3640,99.2
Div,10,Bedford County ,Reading,White,3601,3631,99.2
Div,10,Bedford County ,Science,White,1061,1087,97.6
Div,11,Bland County ,Mathematics,All Students,473,481,98.3
Div,11,Bland County ,Reading,All Students,475,481,98.8
Div,11,Bland County ,Science,All Students,137,142,96.5
Div,11,Bland County ,Mathematics,Asian,14,14,100
Div,11,Bland County ,Reading,Asian,14,14,100
Div,11,Bland County ,Mathematics,Black,30,30,100
Div,11,Bland County ,Reading,Black,30,30,100
Div,11,Bland County ,Mathematics,Economically Disadvantaged,250,254,98.4
Div,11,Bland County ,Reading,Economically Disadvantaged,250,254,98.4
Div,11,Bland County ,Science,Economically Disadvantaged,76,81,93.8
Div,11,Bland County ,Mathematics,English Learners,0,0,0
Div,11,Bland County ,Reading,English Learners,0,0,0
Div,11,Bland County ,Mathematics,Female,229,234,97.9
Div,11,Bland County ,Reading,Female,230,234,98.3
Div,11,Bland County ,Science,Female,44,44,100
Div,11,Bland County ,Mathematics,Hispanic,20,20,100
Div,11,Bland County ,Reading,Hispanic,21,21,100
Div,11,Bland County ,Science,Hispanic,0,0,0
Div,11,Bland County ,Mathematics,Male,244,247,98.8
Div,11,Bland County ,Reading,Male,245,247,99.2
Div,11,Bland County ,Science,Male,55,55,100
Div,11,Bland County ,Mathematics,Multiple Races,22,22,100
Div,11,Bland County ,Reading,Multiple Races,22,22,100
Div,11,Bland County ,Science,Multiple Races,0,0,0
Div,11,Bland County ,Mathematics,Students with Disabilities,83,87,95.4
Div,11,Bland County ,Reading,Students with Disabilities,83,87,95.4
Div,11,Bland County ,Science,Students with Disabilities,30,34,88.2
Div,11,Bland County ,Mathematics,White,384,392,98
Div,11,Bland County ,Reading,White,385,391,98.5
Div,11,Bland County ,Science,White,130,135,96.3
Div,12,Botetourt County ,Mathematics,All Students,2319,2331,99.5
Div,12,Botetourt County ,Reading,All Students,2297,2310,99.4
Div,12,Botetourt County ,Science,All Students,999,1010,98.9
Div,12,Botetourt County ,Mathematics,Asian,27,27,100
Div,12,Botetourt County ,Reading,Asian,25,25,100
Div,12,Botetourt County ,Science,Asian,11,11,100
Div,12,Botetourt County ,Mathematics,Black,45,45,100
Div,12,Botetourt County ,Reading,Black,45,45,100
Div,12,Botetourt County ,Science,Black,21,22,95.5
Div,12,Botetourt County ,Mathematics,Economically Disadvantaged,796,803,99.1
Div,12,Botetourt County ,Reading,Economically Disadvantaged,786,791,99.4
Div,12,Botetourt County ,Science,Economically Disadvantaged,337,341,98.8
Div,12,Botetourt County ,Mathematics,English Learners,94,94,100
Div,12,Botetourt County ,Reading,English Learners,80,80,100
Div,12,Botetourt County ,Science,English Learners,31,31,100
Div,12,Botetourt County ,Mathematics,Female,1132,1136,99.6
Div,12,Botetourt County ,Reading,Female,1126,1129,99.7
Div,12,Botetourt County ,Science,Female,323,324,99.7
Div,12,Botetourt County ,Mathematics,Hispanic,137,137,100
Div,12,Botetourt County ,Reading,Hispanic,131,131,100
Div,12,Botetourt County ,Science,Hispanic,55,55,100
Div,12,Botetourt County ,Mathematics,Male,1187,1195,99.3
Div,12,Botetourt County ,Reading,Male,1171,1181,99.2
Div,12,Botetourt County ,Science,Male,337,338,99.7
Div,12,Botetourt County ,Mathematics,Multiple Races,118,119,99.2
Div,12,Botetourt County ,Reading,Multiple Races,117,117,100
Div,12,Botetourt County ,Science,Multiple Races,48,48,100
Div,12,Botetourt County ,Mathematics,Students with Disabilities,369,375,98.4
Div,12,Botetourt County ,Reading,Students with Disabilities,367,374,98.1
Div,12,Botetourt County ,Science,Students with Disabilities,151,156,96.8
Div,12,Botetourt County ,Mathematics,White,1989,2000,99.5
Div,12,Botetourt County ,Reading,White,1975,1988,99.3
Div,12,Botetourt County ,Science,White,863,873,98.9
Div,102,Bristol City ,Mathematics,All Students,1076,1088,98.9
Div,102,Bristol City ,Reading,All Students,1061,1083,98
Div,102,Bristol City ,Science,All Students,432,446,96.9
Div,102,Bristol City ,Mathematics,Asian,10,10,100
Div,102,Bristol City ,Reading,Asian,0,0,0
Div,102,Bristol City ,Science,Asian,0,0,0
Div,102,Bristol City ,Mathematics,Black,89,91,97.8
Div,102,Bristol City ,Reading,Black,89,93,95.7
Div,102,Bristol City ,Science,Black,39,41,95.1
Div,102,Bristol City ,Mathematics,Economically Disadvantaged,740,752,98.4
Div,102,Bristol City ,Reading,Economically Disadvantaged,731,751,97.3
Div,102,Bristol City ,Science,Economically Disadvantaged,299,311,96.1
Div,102,Bristol City ,Mathematics,English Learners,26,26,100
Div,102,Bristol City ,Reading,English Learners,19,19,100
Div,102,Bristol City ,Science,English Learners,10,10,100
Div,102,Bristol City ,Mathematics,Female,544,549,99.1
Div,102,Bristol City ,Reading,Female,540,548,98.5
Div,102,Bristol City ,Science,Female,160,163,98.2
Div,102,Bristol City ,Mathematics,Hispanic,65,65,100
Div,102,Bristol City ,Reading,Hispanic,60,60,100
Div,102,Bristol City ,Science,Hispanic,16,16,100
Div,102,Bristol City ,Mathematics,Male,532,539,98.7
Div,102,Bristol City ,Reading,Male,521,535,97.4
Div,102,Bristol City ,Science,Male,141,143,98.6
Div,102,Bristol City ,Mathematics,Multiple Races,119,121,98.3
Div,102,Bristol City ,Reading,Multiple Races,118,121,97.5
Div,102,Bristol City ,Science,Multiple Races,50,51,98
Div,102,Bristol City ,Mathematics,Students with Disabilities,211,219,96.3
Div,102,Bristol City ,Reading,Students with Disabilities,210,219,95.9
Div,102,Bristol City ,Science,Students with Disabilities,73,81,90.1
Div,102,Bristol City ,Mathematics,White,789,797,99
Div,102,Bristol City ,Reading,White,781,796,98.1
Div,102,Bristol City ,Science,White,322,333,96.7
Div,13,Brunswick County ,Mathematics,All Students,676,679,99.6
Div,13,Brunswick County ,Reading,All Students,675,678,99.6
Div,13,Brunswick County ,Science,All Students,268,271,98.9
Div,13,Brunswick County ,Mathematics,Asian,0,0,0
Div,13,Brunswick County ,Reading,Asian,0,0,0
Div,13,Brunswick County ,Science,Asian,0,0,0
Div,13,Brunswick County ,Mathematics,Black,528,530,99.6
Div,13,Brunswick County ,Reading,Black,526,529,99.4
Div,13,Brunswick County ,Science,Black,218,221,98.6
Div,13,Brunswick County ,Mathematics,Economically Disadvantaged,504,507,99.4
Div,13,Brunswick County ,Reading,Economically Disadvantaged,504,507,99.4
Div,13,Brunswick County ,Science,Economically Disadvantaged,195,198,98.5
