Div Num,Div Name,Subject,Subgroup,2021-2022 Pass Rate,2022-2023 Pass Rate,2023-2024 Pass Rate
2,Albemarle County ,Science,Students with Disabilities,37,39,41
2,Albemarle County ,English: Reading,White,85,86,86
2,Albemarle County ,English: Writing,White,76,83,89
2,Albemarle County ,History and Social Sciences,White,77,82,81
2,Albemarle County ,Mathematics,White,77,80,83
2,Albemarle County ,Science,White,75,81,82
101,Alexandria City ,English: Reading,All Students,61,60,61
101,Alexandria City ,English: Writing,All Students,62,65,71
101,Alexandria City ,History and Social Sciences,All Students,54,56,64
101,Alexandria City ,Mathematics,All Students,49,53,55
101,Alexandria City ,Science,All Students,49,52,53
101,Alexandria City ,English: Reading,Asian,66,61,63
101,Alexandria City ,English: Writing,Asian,74,74,0
101,Alexandria City ,History and Social Sciences,Asian,58,66,75
101,Alexandria City ,Mathematics,Asian,49,59,56
101,Alexandria City ,Science,Asian,50,56,54
101,Alexandria City ,English: Reading,Black,57,56,58
101,Alexandria City ,English: Writing,Black,56,56,0
101,Alexandria City ,History and Social Sciences,Black,48,47,55
101,Alexandria City ,Mathematics,Black,40,46,48
101,Alexandria City ,Science,Black,42,46,47
101,Alexandria City ,English: Reading,Economically Disadvantaged,47,46,47
101,Alexandria City ,English: Writing,Economically Disadvantaged,52,52,0
101,Alexandria City ,History and Social Sciences,Economically Disadvantaged,41,43,50
101,Alexandria City ,Mathematics,Economically Disadvantaged,36,40,43
101,Alexandria City ,Science,Economically Disadvantaged,34,40,40
101,Alexandria City ,English: Reading,English Learners,27,26,26
101,Alexandria City ,English: Writing,English Learners,16,10,0
101,Alexandria City ,History and Social Sciences,English Learners,24,30,40
101,Alexandria City ,Mathematics,English Learners,23,29,33
101,Alexandria City ,Science,English Learners,15,22,23
101,Alexandria City ,English: Reading,Female,64,63,63
101,Alexandria City ,English: Writing,Female,66,71,82
101,Alexandria City ,History and Social Sciences,Female,53,55,62
101,Alexandria City ,Mathematics,Female,49,51,54
101,Alexandria City ,Science,Female,49,52,52
101,Alexandria City ,English: Reading,Hispanic,44,44,44
101,Alexandria City ,English: Writing,Hispanic,51,52,0
101,Alexandria City ,History and Social Sciences,Hispanic,38,42,49
101,Alexandria City ,Mathematics,Hispanic,34,38,41
101,Alexandria City ,Science,Hispanic,32,37,39
101,Alexandria City ,English: Reading,Male,58,58,59
101,Alexandria City ,English: Writing,Male,59,59,60
101,Alexandria City ,History and Social Sciences,Male,55,57,66
101,Alexandria City ,Mathematics,Male,48,54,56
101,Alexandria City ,Science,Male,48,52,54
101,Alexandria City ,English: Reading,Multiple Races,78,77,77
101,Alexandria City ,English: Writing,Multiple Races,79,76,0
101,Alexandria City ,History and Social Sciences,Multiple Races,74,73,76
101,Alexandria City ,Mathematics,Multiple Races,67,71,67
101,Alexandria City ,Science,Multiple Races,72,74,72
101,Alexandria City ,English: Reading,Students with Disabilities,27,27,30
101,Alexandria City ,English: Writing,Students with Disabilities,22,20,0
101,Alexandria City ,History and Social Sciences,Students with Disabilities,22,24,25
101,Alexandria City ,Mathematics,Students with Disabilities,20,24,28
101,Alexandria City ,Science,Students with Disabilities,22,20,20
101,Alexandria City ,English: Reading,White,87,84,83
101,Alexandria City ,English: Writing,White,86,88,0
101,Alexandria City ,History and Social Sciences,White,83,84,88
101,Alexandria City ,Mathematics,White,77,78,79
101,Alexandria City ,Science,White,80,80,78
3,Alleghany Highlands ,English: Reading,All Students,69,67,63
3,Alleghany Highlands ,English: Writing,All Students,50,51,100
3,Alleghany Highlands ,History and Social Sciences,All Students,60,56,54
3,Alleghany Highlands ,Mathematics,All Students,61,60,59
3,Alleghany Highlands ,Science,All Students,57,54,58
3,Alleghany Highlands ,English: Reading,Asian,91,0,0
3,Alleghany Highlands ,English: Writing,Asian,0,0,
3,Alleghany Highlands ,History and Social Sciences,Asian,0,0,0
3,Alleghany Highlands ,Mathematics,Asian,0,0,0
3,Alleghany Highlands ,Science,Asian,0,0,0
3,Alleghany Highlands ,English: Reading,Black,51,64,57
3,Alleghany Highlands ,English: Writing,Black,16,36,0
3,Alleghany Highlands ,History and Social Sciences,Black,47,46,47
3,Alleghany Highlands ,Mathematics,Black,44,50,57
3,Alleghany Highlands ,Science,Black,34,40,43
3,Alleghany Highlands ,English: Reading,Economically Disadvantaged,61,59,62
3,Alleghany Highlands ,English: Writing,Economically Disadvantaged,36,37,100
3,Alleghany Highlands ,History and Social Sciences,Economically Disadvantaged,52,47,43
3,Alleghany Highlands ,Mathematics,Economically Disadvantaged,51,52,65
3,Alleghany Highlands ,Science,Economically Disadvantaged,48,46,49
3,Alleghany Highlands ,English: Reading,English Learners,20,15,25
3,Alleghany Highlands ,English: Writing,English Learners,0,0,
3,Alleghany Highlands ,History and Social Sciences,English Learners,0,0,25
3,Alleghany Highlands ,Mathematics,English Learners,36,47,25
3,Alleghany Highlands ,Science,English Learners,0,0,20
3,Alleghany Highlands ,English: Reading,Female,72,71,64
3,Alleghany Highlands ,English: Writing,Female,58,60,0
3,Alleghany Highlands ,History and Social Sciences,Female,57,53,53
3,Alleghany Highlands ,Mathematics,Female,60,62,60
3,Alleghany Highlands ,Science,Female,55,53,57
3,Alleghany Highlands ,English: Reading,Hispanic,55,48,49
3,Alleghany Highlands ,English: Writing,Hispanic,42,29,0
3,Alleghany Highlands ,History and Social Sciences,Hispanic,65,51,42
3,Alleghany Highlands ,Mathematics,Hispanic,47,54,44
3,Alleghany Highlands ,Science,Hispanic,55,45,41
3,Alleghany Highlands ,English: Reading,Male,67,62,62
3,Alleghany Highlands ,English: Writing,Male,43,43,0
3,Alleghany Highlands ,History and Social Sciences,Male,63,58,55
3,Alleghany Highlands ,Mathematics,Male,62,58,57
3,Alleghany Highlands ,Science,Male,60,54,60
3,Alleghany Highlands ,English: Reading,Multiple Races,62,68,58
3,Alleghany Highlands ,English: Writing,Multiple Races,47,52,
3,Alleghany Highlands ,History and Social Sciences,Multiple Races,38,42,41
3,Alleghany Highlands ,Mathematics,Multiple Races,49,56,52
3,Alleghany Highlands ,Science,Multiple Races,44,49,56
3,Alleghany Highlands ,English: Reading,Students with Disabilities,41,36,35
3,Alleghany Highlands ,English: Writing,Students with Disabilities,11,12,0
3,Alleghany Highlands ,History and Social Sciences,Students with Disabilities,32,23,19
3,Alleghany Highlands ,Mathematics,Students with Disabilities,31,33,34
3,Alleghany Highlands ,Science,Students with Disabilities,33,24,30
3,Alleghany Highlands ,English: Reading,White,72,68,65
3,Alleghany Highlands ,English: Writing,White,54,54,100
3,Alleghany Highlands ,History and Social Sciences,White,62,58,56
3,Alleghany Highlands ,Mathematics,White,64,61,60
3,Alleghany Highlands ,Science,White,60,56,61
4,Amelia County ,English: Reading,All Students,65,61,59
4,Amelia County ,English: Writing,All Students,56,44,0
4,Amelia County ,History and Social Sciences,All Students,55,52,56
4,Amelia County ,Mathematics,All Students,60,59,60
4,Amelia County ,Science,All Students,56,58,56
4,Amelia County ,English: Reading,Black,53,52,41
4,Amelia County ,English: Writing,Black,38,23,0
4,Amelia County ,History and Social Sciences,Black,39,41,43
4,Amelia County ,Mathematics,Black,47,46,40
4,Amelia County ,Science,Black,42,36,31
4,Amelia County ,English: Reading,Economically Disadvantaged,57,50,51
4,Amelia County ,English: Writing,Economically Disadvantaged,50,27,0
4,Amelia County ,History and Social Sciences,Economically Disadvantaged,47,47,48
4,Amelia County ,Mathematics,Economically Disadvantaged,52,50,52
4,Amelia County ,Science,Economically Disadvantaged,48,47,46
4,Amelia County ,English: Reading,English Learners,27,12,22
4,Amelia County ,History and Social Sciences,English Learners,0,33,27
4,Amelia County ,Mathematics,English Learners,25,31,38
4,Amelia County ,Science,English Learners,11,20,12
4,Amelia County ,English: Reading,Female,68,65,63
4,Amelia County ,English: Writing,Female,65,48,0
4,Amelia County ,History and Social Sciences,Female,50,46,54
4,Amelia County ,Mathematics,Female,60,61,61
4,Amelia County ,Science,Female,54,55,57
4,Amelia County ,English: Reading,Hispanic,51,48,51
4,Amelia County ,English: Writing,Hispanic,0,0,
4,Amelia County ,History and Social Sciences,Hispanic,48,46,45
4,Amelia County ,Mathematics,Hispanic,57,50,52
4,Amelia County ,Science,Hispanic,51,59,48
4,Amelia County ,English: Reading,Male,63,57,55
4,Amelia County ,English: Writing,Male,42,41,0
4,Amelia County ,History and Social Sciences,Male,60,59,57
4,Amelia County ,Mathematics,Male,59,58,59
4,Amelia County ,Science,Male,59,60,54
4,Amelia County ,English: Reading,Multiple Races,51,55,59
4,Amelia County ,English: Writing,Multiple Races,0,37,
4,Amelia County ,History and Social Sciences,Multiple Races,41,59,60
4,Amelia County ,Mathematics,Multiple Races,45,53,60
4,Amelia County ,Science,Multiple Races,54,44,48
4,Amelia County ,English: Reading,Students with Disabilities,47,32,29
4,Amelia County ,English: Writing,Students with Disabilities,8,18,
4,Amelia County ,History and Social Sciences,Students with Disabilities,15,17,19
4,Amelia County ,Mathematics,Students with Disabilities,43,36,33
4,Amelia County ,Science,Students with Disabilities,21,28,28
4,Amelia County ,English: Reading,White,72,65,65
4,Amelia County ,English: Writing,White,58,48,0
4,Amelia County ,History and Social Sciences,White,61,54,61
4,Amelia County ,Mathematics,White,65,65,66
4,Amelia County ,Science,White,62,65,64
5,Amherst County ,English: Reading,All Students,65,70,72
5,Amherst County ,English: Writing,All Students,61,63,67
5,Amherst County ,History and Social Sciences,All Students,52,58,52
5,Amherst County ,Mathematics,All Students,56,63,65
5,Amherst County ,Science,All Students,52,58,57
5,Amherst County ,English: Reading,Asian,70,85,0
5,Amherst County ,English: Writing,Asian,0,0,
5,Amherst County ,History and Social Sciences,Asian,0,0,0
5,Amherst County ,Mathematics,Asian,0,85,100
5,Amherst County ,Science,Asian,0,0,0
5,Amherst County ,English: Reading,Black,52,59,60
5,Amherst County ,English: Writing,Black,46,53,56
5,Amherst County ,History and Social Sciences,Black,39,43,36
5,Amherst County ,Mathematics,Black,44,51,51
5,Amherst County ,Science,Black,33,42,45
5,Amherst County ,English: Reading,Economically Disadvantaged,59,64,66
5,Amherst County ,English: Writing,Economically Disadvantaged,50,52,60
5,Amherst County ,History and Social Sciences,Economically Disadvantaged,43,48,47
5,Amherst County ,Mathematics,Economically Disadvantaged,47,54,58
5,Amherst County ,Science,Economically Disadvantaged,43,45,51
5,Amherst County ,English: Reading,English Learners,50,50,22
5,Amherst County ,English: Writing,English Learners,0,0,0
5,Amherst County ,History and Social Sciences,English Learners,0,31,25
5,Amherst County ,Mathematics,English Learners,46,56,30
5,Amherst County ,Science,English Learners,0,24,10
5,Amherst County ,English: Reading,Female,66,71,76
5,Amherst County ,English: Writing,Female,69,69,76
5,Amherst County ,History and Social Sciences,Female,48,54,50
5,Amherst County ,Mathematics,Female,55,63,66
5,Amherst County ,Science,Female,50,57,55
5,Amherst County ,English: Reading,Hispanic,75,76,77
5,Amherst County ,English: Writing,Hispanic,77,68,67
5,Amherst County ,History and Social Sciences,Hispanic,60,64,52
5,Amherst County ,Mathematics,Hispanic,65,70,64
5,Amherst County ,Science,Hispanic,69,55,61
5,Amherst County ,English: Reading,Male,64,69,69
5,Amherst County ,English: Writing,Male,53,56,58
5,Amherst County ,History and Social Sciences,Male,57,62,54
5,Amherst County ,Mathematics,Male,57,64,65
5,Amherst County ,Science,Male,54,59,59
5,Amherst County ,English: Reading,Multiple Races,68,67,70
5,Amherst County ,English: Writing,Multiple Races,55,63,68
5,Amherst County ,History and Social Sciences,Multiple Races,59,54,55
5,Amherst County ,Mathematics,Multiple Races,56,63,64
5,Amherst County ,Science,Multiple Races,46,63,59
5,Amherst County ,English: Reading,Students with Disabilities,40,43,51
5,Amherst County ,English: Writing,Students with Disabilities,23,15,21
5,Amherst County ,History and Social Sciences,Students with Disabilities,27,29,24
5,Amherst County ,Mathematics,Students with Disabilities,39,39,45
5,Amherst County ,Science,Students with Disabilities,29,29,34
5,Amherst County ,English: Reading,White,68,74,76
5,Amherst County ,English: Writing,White,64,65,69
5,Amherst County ,History and Social Sciences,White,55,62,57
5,Amherst County ,Mathematics,White,59,66,69
5,Amherst County ,Science,White,57,62,60
6,Appomattox County ,English: Reading,All Students,74,73,75
6,Appomattox County ,English: Writing,All Students,64,57,0
6,Appomattox County ,History and Social Sciences,All Students,68,73,68
6,Appomattox County ,Mathematics,All Students,67,71,75
6,Appomattox County ,Science,All Students,67,63,68
6,Appomattox County ,English: Reading,Asian,0,0,0
6,Appomattox County ,History and Social Sciences,Asian,0,,0
6,Appomattox County ,Mathematics,Asian,0,0,0
6,Appomattox County ,Science,Asian,0,0,0
6,Appomattox County ,English: Reading,Black,54,51,54
6,Appomattox County ,English: Writing,Black,37,33,
6,Appomattox County ,History and Social Sciences,Black,46,50,45
6,Appomattox County ,Mathematics,Black,49,52,60
6,Appomattox County ,Science,Black,39,39,46
6,Appomattox County ,English: Reading,Economically Disadvantaged,64,64,65
6,Appomattox County ,English: Writing,Economically Disadvantaged,54,45,0
6,Appomattox County ,History and Social Sciences,Economically Disadvantaged,60,66,56
6,Appomattox County ,Mathematics,Economically Disadvantaged,57,62,65
6,Appomattox County ,Science,Economically Disadvantaged,54,54,57
6,Appomattox County ,English: Reading,English Learners,20,14,43
6,Appomattox County ,English: Writing,English Learners,0,,
6,Appomattox County ,History and Social Sciences,English Learners,0,36,40
6,Appomattox County ,Mathematics,English Learners,22,44,50
6,Appomattox County ,Science,English Learners,10,0,43
6,Appomattox County ,English: Reading,Female,75,76,77
6,Appomattox County ,English: Writing,Female,68,66,0
6,Appomattox County ,History and Social Sciences,Female,67,72,68
6,Appomattox County ,Mathematics,Female,68,74,76
6,Appomattox County ,Science,Female,63,65,66
6,Appomattox County ,English: Reading,Hispanic,53,54,68
6,Appomattox County ,English: Writing,Hispanic,47,0,
6,Appomattox County ,History and Social Sciences,Hispanic,54,52,57
6,Appomattox County ,Mathematics,Hispanic,51,60,63
6,Appomattox County ,Science,Hispanic,37,52,54
6,Appomattox County ,English: Reading,Male,72,69,72
6,Appomattox County ,English: Writing,Male,59,49,
6,Appomattox County ,History and Social Sciences,Male,70,74,68
6,Appomattox County ,Mathematics,Male,66,68,73
6,Appomattox County ,Science,Male,72,61,69
6,Appomattox County ,English: Reading,Multiple Races,64,70,74
6,Appomattox County ,English: Writing,Multiple Races,59,50,
6,Appomattox County ,History and Social Sciences,Multiple Races,70,70,66
6,Appomattox County ,Mathematics,Multiple Races,61,67,67
6,Appomattox County ,Science,Multiple Races,64,56,58
6,Appomattox County ,English: Reading,Students with Disabilities,42,42,44
6,Appomattox County ,English: Writing,Students with Disabilities,11,8,
6,Appomattox County ,History and Social Sciences,Students with Disabilities,25,33,25
6,Appomattox County ,Mathematics,Students with Disabilities,35,38,38
6,Appomattox County ,Science,Students with Disabilities,40,36,40
6,Appomattox County ,English: Reading,White,83,81,82
6,Appomattox County ,English: Writing,White,73,67,0
6,Appomattox County ,History and Social Sciences,White,76,82,78
6,Appomattox County ,Mathematics,White,75,78,81
6,Appomattox County ,Science,White,76,73,78
7,Arlington County ,English: Reading,All Students,80,80,80
7,Arlington County ,English: Writing,All Students,81,79,86
7,Arlington County ,History and Social Sciences,All Students,73,80,81
7,Arlington County ,Mathematics,All Students,74,78,79
7,Arlington County ,Science,All Students,71,72,74
7,Arlington County ,English: Reading,Asian,86,84,85
7,Arlington County ,English: Writing,Asian,87,85,90
7,Arlington County ,History and Social Sciences,Asian,77,88,85
7,Arlington County ,Mathematics,Asian,81,86,86
7,Arlington County ,Science,Asian,75,79,81
7,Arlington County ,English: Reading,Black,67,66,70
7,Arlington County ,English: Writing,Black,61,59,78
7,Arlington County ,History and Social Sciences,Black,52,58,55
7,Arlington County ,Mathematics,Black,56,61,65
7,Arlington County ,Science,Black,52,55,58
7,Arlington County ,English: Reading,Economically Disadvantaged,59,58,60
7,Arlington County ,English: Writing,Economically Disadvantaged,59,58,71
7,Arlington County ,History and Social Sciences,Economically Disadvantaged,44,55,57
7,Arlington County ,Mathematics,Economically Disadvantaged,50,58,60
7,Arlington County ,Science,Economically Disadvantaged,44,46,54
7,Arlington County ,English: Reading,English Learners,34,34,37
7,Arlington County ,English: Writing,English Learners,21,27,25
7,Arlington County ,History and Social Sciences,English Learners,21,45,39
7,Arlington County ,Mathematics,English Learners,35,46,45
7,Arlington County ,Science,English Learners,17,25,29
7,Arlington County ,English: Reading,Female,83,82,83
7,Arlington County ,English: Writing,Female,84,83,87
7,Arlington County ,History and Social Sciences,Female,72,79,80
7,Arlington County ,Mathematics,Female,73,78,79
7,Arlington County ,Science,Female,71,71,73
7,Arlington County ,English: Reading,Hispanic,61,60,60
7,Arlington County ,English: Writing,Hispanic,64,64,70
7,Arlington County ,History and Social Sciences,Hispanic,49,58,61
7,Arlington County ,Mathematics,Hispanic,51,59,59
7,Arlington County ,Science,Hispanic,47,49,53
7,Arlington County ,English: Reading,Male,79,78,78
7,Arlington County ,English: Writing,Male,78,76,85
7,Arlington County ,History and Social Sciences,Male,74,81,81
7,Arlington County ,Mathematics,Male,74,78,79
7,Arlington County ,Science,Male,71,73,75
7,Arlington County ,English: Reading,Multiple Races,91,91,92
7,Arlington County ,English: Writing,Multiple Races,91,90,93
7,Arlington County ,History and Social Sciences,Multiple Races,84,90,86
7,Arlington County ,Mathematics,Multiple Races,86,90,90
7,Arlington County ,Science,Multiple Races,88,87,89
7,Arlington County ,English: Reading,Students with Disabilities,52,50,53
7,Arlington County ,English: Writing,Students with Disabilities,48,44,59
7,Arlington County ,History and Social Sciences,Students with Disabilities,43,53,51
7,Arlington County ,Mathematics,Students with Disabilities,45,52,51
7,Arlington County ,Science,Students with Disabilities,41,44,47
7,Arlington County ,English: Reading,White,93,93,93
7,Arlington County ,English: Writing,White,91,92,96
7,Arlington County ,History and Social Sciences,White,90,91,92
7,Arlington County ,Mathematics,White,89,92,92
7,Arlington County ,Science,White,89,90,91
8,Augusta County ,English: Reading,All Students,73,70,70
8,Augusta County ,English: Writing,All Students,70,52,37
8,Augusta County ,History and Social Sciences,All Students,76,72,69
8,Augusta County ,Mathematics,All Students,69,70,69
8,Augusta County ,Science,All Students,70,70,70
8,Augusta County ,English: Reading,Asian,82,89,86
8,Augusta County ,English: Writing,Asian,86,82,
8,Augusta County ,History and Social Sciences,Asian,88,86,80
8,Augusta County ,Mathematics,Asian,84,89,91
8,Augusta County ,Science,Asian,86,85,78
8,Augusta County ,English: Reading,Black,58,59,60
8,Augusta County ,English: Writing,Black,52,38,0
8,Augusta County ,History and Social Sciences,Black,67,57,56
8,Augusta County ,Mathematics,Black,56,60,57
8,Augusta County ,Science,Black,54,59,54
8,Augusta County ,English: Reading,Economically Disadvantaged,61,59,59
8,Augusta County ,English: Writing,Economically Disadvantaged,56,40,27
8,Augusta County ,History and Social Sciences,Economically Disadvantaged,66,59,58
8,Augusta County ,Mathematics,Economically Disadvantaged,57,58,58
8,Augusta County ,Science,Economically Disadvantaged,59,56,59
8,Augusta County ,English: Reading,English Learners,25,36,31
8,Augusta County ,English: Writing,English Learners,17,0,0
8,Augusta County ,History and Social Sciences,English Learners,45,41,41
8,Augusta County ,Mathematics,English Learners,41,48,45
8,Augusta County ,Science,English Learners,23,28,40
8,Augusta County ,English: Reading,Female,76,73,73
8,Augusta County ,English: Writing,Female,78,64,38
8,Augusta County ,History and Social Sciences,Female,77,72,69
8,Augusta County ,Mathematics,Female,70,71,69
8,Augusta County ,Science,Female,71,70,70
8,Augusta County ,English: Reading,Hispanic,61,57,57
8,Augusta County ,English: Writing,Hispanic,60,49,0
8,Augusta County ,History and Social Sciences,Hispanic,72,65,63
8,Augusta County ,Mathematics,Hispanic,60,60,57
8,Augusta County ,Science,Hispanic,56,52,58
8,Augusta County ,English: Reading,Male,69,67,67
8,Augusta County ,English: Writing,Male,63,42,36
8,Augusta County ,History and Social Sciences,Male,75,71,70
8,Augusta County ,Mathematics,Male,68,68,68
8,Augusta County ,Science,Male,69,69,70
8,Augusta County ,English: Reading,Multiple Races,67,62,63
8,Augusta County ,English: Writing,Multiple Races,57,42,0
8,Augusta County ,History and Social Sciences,Multiple Races,67,62,61
8,Augusta County ,Mathematics,Multiple Races,61,57,61
8,Augusta County ,Science,Multiple Races,65,58,62
8,Augusta County ,English: Reading,Students with Disabilities,37,31,35
8,Augusta County ,English: Writing,Students with Disabilities,19,7,0
8,Augusta County ,History and Social Sciences,Students with Disabilities,33,29,28
8,Augusta County ,Mathematics,Students with Disabilities,33,31,31
8,Augusta County ,Science,Students with Disabilities,34,31,32
8,Augusta County ,English: Reading,White,74,72,72
8,Augusta County ,English: Writing,White,72,53,40
8,Augusta County ,History and Social Sciences,White,77,73,71
8,Augusta County ,Mathematics,White,70,71,70
8,Augusta County ,Science,White,72,72,72
9,Bath County ,English: Reading,All Students,63,69,80
9,Bath County ,English: Writing,All Students,64,66,88
9,Bath County ,History and Social Sciences,All Students,60,67,62
9,Bath County ,Mathematics,All Students,74,80,79
9,Bath County ,Science,All Students,78,53,80
9,Bath County ,English: Reading,Asian,0,0,0
9,Bath County ,English: Writing,Asian,0,,
9,Bath County ,History and Social Sciences,Asian,,0,0
9,Bath County ,Mathematics,Asian,0,0,0
9,Bath County ,Science,Asian,,,0
9,Bath County ,English: Reading,Black,0,0,93
9,Bath County ,English: Writing,Black,0,,0
9,Bath County ,History and Social Sciences,Black,0,0,0
9,Bath County ,Mathematics,Black,73,0,70
9,Bath County ,Science,Black,0,0,0
9,Bath County ,English: Reading,Economically Disadvantaged,60,67,77
9,Bath County ,English: Writing,Economically Disadvantaged,53,57,0
9,Bath County ,History and Social Sciences,Economically Disadvantaged,60,64,56
9,Bath County ,Mathematics,Economically Disadvantaged,77,77,73
9,Bath County ,Science,Economically Disadvantaged,76,51,75
9,Bath County ,English: Reading,English Learners,0,0,
9,Bath County ,History and Social Sciences,English Learners,0,0,0
9,Bath County ,Mathematics,English Learners,0,0,0
9,Bath County ,Science,English Learners,0,0,0
9,Bath County ,English: Reading,Female,68,73,81
9,Bath County ,English: Writing,Female,78,76,94
9,Bath County ,History and Social Sciences,Female,64,65,51
9,Bath County ,Mathematics,Female,75,81,83
9,Bath County ,Science,Female,80,54,81
