2022-2023 Division Subject-Area Participation Rates,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Div,101,Alexandria City ,Science,Asian,158,160,99
Div,101,Alexandria City ,English: Reading,Black,2027,2062,98
Div,101,Alexandria City ,Mathematics,Black,1857,1898,98
Div,101,Alexandria City ,Science,Black,596,615,97
Div,101,Alexandria City ,English: Reading,Economically Disadvantaged,4393,4446,99
Div,101,Alexandria City ,Mathematics,Economically Disadvantaged,4142,4211,98
Div,101,Alexandria City ,Science,Economically Disadvantaged,1347,1380,98
Div,101,Alexandria City ,English: Reading,English Learners,3461,3490,99
Div,101,Alexandria City ,Mathematics,English Learners,3566,3597,99
Div,101,Alexandria City ,Science,English Learners,1190,1215,98
Div,101,Alexandria City ,English: Reading,Female,3735,3773,99
Div,101,Alexandria City ,Mathematics,Female,3489,3536,99
Div,101,Alexandria City ,Science,Female,1064,1081,98
Div,101,Alexandria City ,English: Reading,Hispanic,2865,2899,99
Div,101,Alexandria City ,Mathematics,Hispanic,2693,2725,99
Div,101,Alexandria City ,Science,Hispanic,936,962,97
Div,101,Alexandria City ,English: Reading,Male,3979,4023,99
Div,101,Alexandria City ,Mathematics,Male,3714,3770,99
Div,101,Alexandria City ,Science,Male,1173,1183,99
Div,101,Alexandria City ,English: Reading,Students with Disabilities,898,920,98
Div,101,Alexandria City ,Mathematics,Students with Disabilities,841,867,97
Div,101,Alexandria City ,Science,Students with Disabilities,288,304,95
Div,101,Alexandria City ,English: Reading,White,2043,2053,100
Div,101,Alexandria City ,Mathematics,White,1894,1917,99
Div,101,Alexandria City ,Science,White,606,613,99
Div,3,Alleghany County ,English: Reading,All Students,929,937,99
Div,3,Alleghany County ,Mathematics,All Students,844,850,99
Div,3,Alleghany County ,Science,All Students,425,432,98
Div,3,Alleghany County ,English: Reading,Asian,0,0,0
Div,3,Alleghany County ,Mathematics,Asian,0,0,0
Div,3,Alleghany County ,Science,Asian,0,0,0
Div,3,Alleghany County ,English: Reading,Black,60,60,100
Div,3,Alleghany County ,Mathematics,Black,55,55,100
Div,3,Alleghany County ,Science,Black,35,35,100
Div,3,Alleghany County ,English: Reading,Economically Disadvantaged,476,482,99
Div,3,Alleghany County ,Mathematics,Economically Disadvantaged,438,441,99
Div,3,Alleghany County ,Science,Economically Disadvantaged,208,214,97
Div,3,Alleghany County ,English: Reading,English Learners,10,10,100
Div,3,Alleghany County ,Mathematics,English Learners,0,0,0
Div,3,Alleghany County ,Science,English Learners,0,0,0
Div,3,Alleghany County ,English: Reading,Female,451,453,100
Div,3,Alleghany County ,Mathematics,Female,407,409,100
Div,3,Alleghany County ,Science,Female,137,137,100
Div,3,Alleghany County ,English: Reading,Hispanic,24,24,100
Div,3,Alleghany County ,Mathematics,Hispanic,25,25,100
Div,3,Alleghany County ,Science,Hispanic,0,0,0
Div,3,Alleghany County ,English: Reading,Male,478,484,99
Div,3,Alleghany County ,Mathematics,Male,437,441,99
Div,3,Alleghany County ,Science,Male,140,143,98
Div,3,Alleghany County ,English: Reading,Multiple Races,25,26,96
Div,3,Alleghany County ,Mathematics,Multiple Races,21,22,95
Div,3,Alleghany County ,Science,Multiple Races,11,11,100
Div,3,Alleghany County ,English: Reading,Students with Disabilities,112,116,97
Div,3,Alleghany County ,Mathematics,Students with Disabilities,108,111,97
Div,3,Alleghany County ,Science,Students with Disabilities,45,48,94
Div,3,Alleghany County ,English: Reading,White,811,818,99
Div,3,Alleghany County ,Mathematics,White,734,739,99
Div,3,Alleghany County ,Science,White,366,373,98
Div,4,Amelia County ,English: Reading,All Students,797,798,100
Div,4,Amelia County ,Mathematics,All Students,702,707,99
Div,4,Amelia County ,Science,All Students,347,348,100
Div,4,Amelia County ,English: Reading,Black,130,130,100
Div,4,Amelia County ,Mathematics,Black,116,116,100
Div,4,Amelia County ,Science,Black,53,53,100
Div,4,Amelia County ,English: Reading,Economically Disadvantaged,423,424,100
Div,4,Amelia County ,Mathematics,Economically Disadvantaged,379,382,99
Div,4,Amelia County ,Science,Economically Disadvantaged,184,185,99
Div,4,Amelia County ,English: Reading,English Learners,34,34,100
Div,4,Amelia County ,Mathematics,English Learners,32,32,100
Div,4,Amelia County ,Science,English Learners,10,10,100
Div,4,Amelia County ,English: Reading,Female,372,372,100
Div,4,Amelia County ,Mathematics,Female,315,317,99
Div,4,Amelia County ,Science,Female,95,95,100
Div,4,Amelia County ,English: Reading,Hispanic,58,59,98
Div,4,Amelia County ,Mathematics,Hispanic,53,54,98
Div,4,Amelia County ,Science,Hispanic,18,18,100
Div,4,Amelia County ,English: Reading,Male,425,426,100
Div,4,Amelia County ,Mathematics,Male,387,390,99
Div,4,Amelia County ,Science,Male,136,136,100
Div,4,Amelia County ,English: Reading,Students with Disabilities,101,101,100
Div,4,Amelia County ,Mathematics,Students with Disabilities,96,97,99
Div,4,Amelia County ,Science,Students with Disabilities,45,46,98
Div,4,Amelia County ,English: Reading,White,522,522,100
Div,4,Amelia County ,Mathematics,White,452,456,99
Div,4,Amelia County ,Science,White,234,235,100
Div,5,Amherst County ,English: Reading,All Students,1962,1968,100
Div,5,Amherst County ,Mathematics,All Students,1698,1706,100
Div,5,Amherst County ,Science,All Students,590,592,100
Div,5,Amherst County ,English: Reading,Asian,14,14,100
Div,5,Amherst County ,Mathematics,Asian,13,13,100
Div,5,Amherst County ,Science,Asian,0,0,0
Div,5,Amherst County ,English: Reading,Black,367,367,100
Div,5,Amherst County ,Mathematics,Black,331,331,100
Div,5,Amherst County ,Science,Black,120,120,100
Div,5,Amherst County ,English: Reading,Economically Disadvantaged,926,931,99
Div,5,Amherst County ,Mathematics,Economically Disadvantaged,838,844,99
Div,5,Amherst County ,Science,Economically Disadvantaged,287,289,99
Div,5,Amherst County ,English: Reading,English Learners,30,31,97
Div,5,Amherst County ,Mathematics,English Learners,30,30,100
Div,5,Amherst County ,Science,English Learners,10,10,100
Div,5,Amherst County ,English: Reading,Female,937,940,100
Div,5,Amherst County ,Mathematics,Female,813,815,100
Div,5,Amherst County ,Science,Female,272,272,100
Div,5,Amherst County ,English: Reading,Hispanic,107,107,100
Div,5,Amherst County ,Mathematics,Hispanic,96,96,100
Div,5,Amherst County ,Science,Hispanic,35,35,100
Div,5,Amherst County ,English: Reading,Male,1025,1028,100
Div,5,Amherst County ,Mathematics,Male,885,891,99
Div,5,Amherst County ,Science,Male,289,291,99
Div,5,Amherst County ,English: Reading,Students with Disabilities,307,307,100
Div,5,Amherst County ,Mathematics,Students with Disabilities,282,282,100
Div,5,Amherst County ,Science,Students with Disabilities,92,92,100
Div,5,Amherst County ,English: Reading,White,1273,1278,100
Div,5,Amherst County ,Mathematics,White,1089,1095,99
Div,5,Amherst County ,Science,White,375,377,99
Div,6,Appomattox County ,English: Reading,All Students,1210,1218,99
Div,6,Appomattox County ,Mathematics,All Students,1133,1137,100
Div,6,Appomattox County ,Science,All Students,487,493,99
Div,6,Appomattox County ,English: Reading,Asian,0,0,0
Div,6,Appomattox County ,Mathematics,Asian,0,0,0
Div,6,Appomattox County ,Science,Asian,0,0,0
Div,6,Appomattox County ,English: Reading,Black,266,270,99
Div,6,Appomattox County ,Mathematics,Black,250,252,99
Div,6,Appomattox County ,Science,Black,120,123,98
Div,6,Appomattox County ,English: Reading,Economically Disadvantaged,610,616,99
Div,6,Appomattox County ,Mathematics,Economically Disadvantaged,584,586,100
Div,6,Appomattox County ,Science,Economically Disadvantaged,230,235,98
Div,6,Appomattox County ,English: Reading,English Learners,15,15,100
Div,6,Appomattox County ,Mathematics,English Learners,15,15,100
Div,6,Appomattox County ,Science,English Learners,0,0,0
Div,6,Appomattox County ,English: Reading,Female,600,602,100
Div,6,Appomattox County ,Mathematics,Female,563,565,100
Div,6,Appomattox County ,Science,Female,163,163,100
Div,6,Appomattox County ,English: Reading,Hispanic,48,48,100
Div,6,Appomattox County ,Mathematics,Hispanic,47,47,100
Div,6,Appomattox County ,Science,Hispanic,18,18,100
Div,6,Appomattox County ,English: Reading,Male,610,616,99
Div,6,Appomattox County ,Mathematics,Male,570,572,100
Div,6,Appomattox County ,Science,Male,195,196,99
Div,6,Appomattox County ,English: Reading,Students with Disabilities,146,148,99
Div,6,Appomattox County ,Mathematics,Students with Disabilities,140,140,100
Div,6,Appomattox County ,Science,Students with Disabilities,47,48,98
Div,6,Appomattox County ,English: Reading,White,777,781,99
Div,6,Appomattox County ,Mathematics,White,721,723,100
Div,6,Appomattox County ,Science,White,308,310,99
Div,7,Arlington County ,English: Reading,All Students,13590,13671,99
Div,7,Arlington County ,Mathematics,All Students,12281,12360,99
Div,7,Arlington County ,Science,All Students,4274,4320,99
Div,7,Arlington County ,English: Reading,Asian,1162,1168,99
Div,7,Arlington County ,Mathematics,Asian,1085,1088,100
Div,7,Arlington County ,Science,Asian,362,365,99
Div,7,Arlington County ,English: Reading,Black,1422,1428,100
Div,7,Arlington County ,Mathematics,Black,1305,1318,99
Div,7,Arlington County ,Science,Black,430,435,99
Div,7,Arlington County ,English: Reading,Economically Disadvantaged,4237,4289,99
Div,7,Arlington County ,Mathematics,Economically Disadvantaged,3981,4015,99
Div,7,Arlington County ,Science,Economically Disadvantaged,1462,1492,98
Div,7,Arlington County ,English: Reading,English Learners,3788,3843,99
Div,7,Arlington County ,Mathematics,English Learners,3682,3712,99
Div,7,Arlington County ,Science,English Learners,1278,1305,98
Div,7,Arlington County ,English: Reading,Female,6471,6494,100
Div,7,Arlington County ,Mathematics,Female,5845,5871,100
Div,7,Arlington County ,Science,Female,1963,1968,100
Div,7,Arlington County ,English: Reading,Hispanic,3711,3764,99
Div,7,Arlington County ,Mathematics,Hispanic,3520,3548,99
Div,7,Arlington County ,Science,Hispanic,1342,1365,98
Div,7,Arlington County ,English: Reading,Male,7103,7161,99
Div,7,Arlington County ,Mathematics,Male,6423,6476,99
Div,7,Arlington County ,Science,Male,2075,2079,100
Div,7,Arlington County ,English: Reading,Students with Disabilities,2154,2173,99
Div,7,Arlington County ,Mathematics,Students with Disabilities,1973,1987,99
Div,7,Arlington County ,Science,Students with Disabilities,696,722,96
Div,7,Arlington County ,English: Reading,White,6101,6117,100
Div,7,Arlington County ,Mathematics,White,5330,5357,99
Div,7,Arlington County ,Science,White,1813,1827,99
Div,8,Augusta County ,English: Reading,All Students,5154,5179,100
Div,8,Augusta County ,Mathematics,All Students,4741,4759,100
Div,8,Augusta County ,Science,All Students,2250,2279,99
Div,8,Augusta County ,English: Reading,Asian,54,54,100
Div,8,Augusta County ,Mathematics,Asian,51,51,100
Div,8,Augusta County ,Science,Asian,32,32,100
Div,8,Augusta County ,English: Reading,Black,181,181,100
Div,8,Augusta County ,Mathematics,Black,166,167,99
Div,8,Augusta County ,Science,Black,71,72,99
Div,8,Augusta County ,English: Reading,Economically Disadvantaged,2327,2341,99
Div,8,Augusta County ,Mathematics,Economically Disadvantaged,2189,2200,100
Div,8,Augusta County ,Science,Economically Disadvantaged,964,979,98
Div,8,Augusta County ,English: Reading,English Learners,194,196,99
Div,8,Augusta County ,Mathematics,English Learners,203,205,99
Div,8,Augusta County ,Science,English Learners,85,85,100
Div,8,Augusta County ,English: Reading,Female,2515,2522,100
Div,8,Augusta County ,Mathematics,Female,2328,2334,100
Div,8,Augusta County ,Science,Female,753,754,100
Div,8,Augusta County ,English: Reading,Hispanic,362,364,99
Div,8,Augusta County ,Mathematics,Hispanic,341,344,99
Div,8,Augusta County ,Science,Hispanic,167,168,99
Div,8,Augusta County ,English: Reading,Male,2639,2657,99
Div,8,Augusta County ,Mathematics,Male,2413,2425,100
Div,8,Augusta County ,Science,Male,809,812,100
Div,8,Augusta County ,English: Reading,Students with Disabilities,629,631,100
Div,8,Augusta County ,Mathematics,Students with Disabilities,599,600,100
Div,8,Augusta County ,Science,Students with Disabilities,243,247,98
Div,8,Augusta County ,English: Reading,White,4264,4283,100
Div,8,Augusta County ,Mathematics,White,3899,3912,100
Div,8,Augusta County ,Science,White,1871,1894,99
Div,9,Bath County ,English: Reading,All Students,270,270,100
Div,9,Bath County ,Mathematics,All Students,242,242,100
Div,9,Bath County ,Science,All Students,80,80,100
Div,9,Bath County ,English: Reading,Asian,0,0,0
Div,9,Bath County ,Mathematics,Asian,0,0,0
Div,9,Bath County ,Science,Asian,0,0,0
Div,9,Bath County ,English: Reading,Black,0,0,0
Div,9,Bath County ,Mathematics,Black,0,0,0
Div,9,Bath County ,Science,Black,0,0,0
Div,9,Bath County ,English: Reading,Economically Disadvantaged,133,133,100
Div,9,Bath County ,Mathematics,Economically Disadvantaged,125,125,100
Div,9,Bath County ,Science,Economically Disadvantaged,38,38,100
Div,9,Bath County ,English: Reading,English Learners,0,0,0
Div,9,Bath County ,Mathematics,English Learners,0,0,0
Div,9,Bath County ,Science,English Learners,0,0,0
Div,9,Bath County ,English: Reading,Female,138,138,100
Div,9,Bath County ,Mathematics,Female,123,123,100
Div,9,Bath County ,Science,Female,38,38,100
Div,9,Bath County ,English: Reading,Hispanic,10,10,100
Div,9,Bath County ,Mathematics,Hispanic,0,0,0
Div,9,Bath County ,Science,Hispanic,0,0,0
Div,9,Bath County ,English: Reading,Male,132,132,100
Div,9,Bath County ,Mathematics,Male,119,119,100
Div,9,Bath County ,Science,Male,34,34,100
Div,9,Bath County ,English: Reading,Students with Disabilities,60,60,100
Div,9,Bath County ,Mathematics,Students with Disabilities,58,58,100
Div,9,Bath County ,Science,Students with Disabilities,22,22,100
Div,9,Bath County ,English: Reading,White,242,242,100
Div,9,Bath County ,Mathematics,White,215,215,100
Div,9,Bath County ,Science,White,71,71,100
Div,10,Bedford County ,English: Reading,All Students,4623,4678,99
Div,10,Bedford County ,Mathematics,All Students,4087,4139,99
Div,10,Bedford County ,Science,All Students,1452,1488,98
Div,10,Bedford County ,English: Reading,Asian,78,80,98
Div,10,Bedford County ,Mathematics,Asian,66,69,96
Div,10,Bedford County ,Science,Asian,24,24,100
Div,10,Bedford County ,English: Reading,Black,379,384,99
Div,10,Bedford County ,Mathematics,Black,337,343,98
Div,10,Bedford County ,Science,Black,127,134,95
Div,10,Bedford County ,English: Reading,Economically Disadvantaged,1858,1887,98
Div,10,Bedford County ,Mathematics,Economically Disadvantaged,1707,1730,99
Div,10,Bedford County ,Science,Economically Disadvantaged,632,654,97
Div,10,Bedford County ,English: Reading,English Learners,79,86,92
Div,10,Bedford County ,Mathematics,English Learners,86,88,98
Div,10,Bedford County ,Science,English Learners,29,30,97
Div,10,Bedford County ,English: Reading,Female,2244,2261,99
Div,10,Bedford County ,Mathematics,Female,1969,1987,99
Div,10,Bedford County ,Science,Female,627,629,100
Div,10,Bedford County ,English: Reading,Hispanic,227,233,97
Div,10,Bedford County ,Mathematics,Hispanic,216,219,99
Div,10,Bedford County ,Science,Hispanic,83,85,98
Div,10,Bedford County ,English: Reading,Male,2375,2413,98
Div,10,Bedford County ,Mathematics,Male,2115,2149,98
Div,10,Bedford County ,Science,Male,689,689,100
Div,10,Bedford County ,English: Reading,Students with Disabilities,524,548,96
Div,10,Bedford County ,Mathematics,Students with Disabilities,490,515,95
Div,10,Bedford County ,Science,Students with Disabilities,192,217,88
Div,10,Bedford County ,English: Reading,White,3653,3692,99
Div,10,Bedford County ,Mathematics,White,3205,3241,99
Div,10,Bedford County ,Science,White,1120,1145,98
Div,11,Bland County ,English: Reading,All Students,446,451,99
Div,11,Bland County ,Mathematics,All Students,402,407,99
Div,11,Bland County ,Science,All Students,156,162,96
Div,11,Bland County ,English: Reading,Asian,0,0,0
Div,11,Bland County ,Mathematics,Asian,0,0,0
Div,11,Bland County ,English: Reading,Black,15,15,100
Div,11,Bland County ,Mathematics,Black,15,15,100
Div,11,Bland County ,English: Reading,Economically Disadvantaged,230,233,99
Div,11,Bland County ,Mathematics,Economically Disadvantaged,204,207,99
Div,11,Bland County ,Science,Economically Disadvantaged,82,85,96
Div,11,Bland County ,English: Reading,English Learners,0,0,0
Div,11,Bland County ,Mathematics,English Learners,0,0,0
Div,11,Bland County ,English: Reading,Female,205,207,99
Div,11,Bland County ,Mathematics,Female,183,185,99
Div,11,Bland County ,Science,Female,45,46,98
Div,11,Bland County ,English: Reading,Hispanic,23,23,100
Div,11,Bland County ,Mathematics,Hispanic,22,22,100
Div,11,Bland County ,Science,Hispanic,0,0,0
Div,11,Bland County ,English: Reading,Male,241,244,99
Div,11,Bland County ,Mathematics,Male,219,222,99
Div,11,Bland County ,Science,Male,51,53,96
Div,11,Bland County ,English: Reading,Students with Disabilities,73,75,97
Div,11,Bland County ,Mathematics,Students with Disabilities,73,75,97
Div,11,Bland County ,Science,Students with Disabilities,29,32,91
Div,11,Bland County ,English: Reading,White,376,381,99
Div,11,Bland County ,Mathematics,White,333,338,99
Div,11,Bland County ,Science,White,149,155,96
Div,12,Botetourt County ,English: Reading,All Students,2326,2340,99
Div,12,Botetourt County ,Mathematics,All Students,2139,2150,99
Div,12,Botetourt County ,Science,All Students,981,990,99
Div,12,Botetourt County ,English: Reading,Asian,28,28,100
Div,12,Botetourt County ,Mathematics,Asian,25,26,96
Div,12,Botetourt County ,Science,Asian,15,16,94
Div,12,Botetourt County ,English: Reading,Black,46,46,100
Div,12,Botetourt County ,Mathematics,Black,40,40,100
Div,12,Botetourt County ,Science,Black,20,20,100
Div,12,Botetourt County ,English: Reading,Economically Disadvantaged,827,834,99
Div,12,Botetourt County ,Mathematics,Economically Disadvantaged,769,773,99
Div,12,Botetourt County ,Science,Economically Disadvantaged,345,349,99
Div,12,Botetourt County ,English: Reading,English Learners,77,77,100
Div,12,Botetourt County ,Mathematics,English Learners,76,76,100
Div,12,Botetourt County ,Science,English Learners,31,31,100
Div,12,Botetourt County ,English: Reading,Female,1129,1136,99
Div,12,Botetourt County ,Mathematics,Female,1047,1050,100
Div,12,Botetourt County ,Science,Female,333,334,100
Div,12,Botetourt County ,English: Reading,Hispanic,132,132,100
Div,12,Botetourt County ,Mathematics,Hispanic,120,121,99
Div,12,Botetourt County ,Science,Hispanic,56,56,100
Div,12,Botetourt County ,English: Reading,Male,1197,1204,99
Div,12,Botetourt County ,Mathematics,Male,1092,1100,99
Div,12,Botetourt County ,Science,Male,333,336,99
Div,12,Botetourt County ,English: Reading,Students with Disabilities,377,382,99
Div,12,Botetourt County ,Mathematics,Students with Disabilities,361,365,99
Div,12,Botetourt County ,Science,Students with Disabilities,138,142,97
Div,12,Botetourt County ,English: Reading,White,2003,2017,99
Div,12,Botetourt County ,Mathematics,White,1844,1853,100
Div,12,Botetourt County ,Science,White,846,854,99
Div,102,Bristol City ,English: Reading,All Students,1098,1113,99
Div,102,Bristol City ,Mathematics,All Students,1037,1045,99
Div,102,Bristol City ,Science,All Students,433,444,98
Div,102,Bristol City ,English: Reading,Asian,10,10,100
Div,102,Bristol City ,Mathematics,Asian,12,12,100
Div,102,Bristol City ,Science,Asian,0,0,0
Div,102,Bristol City ,English: Reading,Black,89,92,97
Div,102,Bristol City ,Mathematics,Black,83,84,99
Div,102,Bristol City ,Science,Black,29,33,88
Div,102,Bristol City ,English: Reading,Economically Disadvantaged,805,817,99
Div,102,Bristol City ,Mathematics,Economically Disadvantaged,767,775,99
Div,102,Bristol City ,Science,Economically Disadvantaged,306,315,97
Div,102,Bristol City ,English: Reading,English Learners,22,22,100
Div,102,Bristol City ,Mathematics,English Learners,23,23,100
Div,102,Bristol City ,Science,English Learners,16,16,100
Div,102,Bristol City ,English: Reading,Female,555,561,99
Div,102,Bristol City ,Mathematics,Female,521,524,99
Div,102,Bristol City ,Science,Female,147,149,99
Div,102,Bristol City ,English: Reading,Hispanic,60,61,98
Div,102,Bristol City ,Mathematics,Hispanic,60,60,100
Div,102,Bristol City ,Science,Hispanic,29,30,97
Div,102,Bristol City ,English: Reading,Male,542,551,98
Div,102,Bristol City ,Mathematics,Male,515,520,99
Div,102,Bristol City ,Science,Male,162,164,99
Div,102,Bristol City ,English: Reading,Students with Disabilities,211,216,98
Div,102,Bristol City ,Mathematics,Students with Disabilities,206,210,98
Div,102,Bristol City ,Science,Students with Disabilities,73,77,95
Div,102,Bristol City ,English: Reading,White,813,821,99
Div,102,Bristol City ,Mathematics,White,761,767,99
Div,102,Bristol City ,Science,White,323,327,99
Div,13,Brunswick County ,English: Reading,All Students,707,710,100
Div,13,Brunswick County ,Mathematics,All Students,628,629,100
Div,13,Brunswick County ,Science,All Students,311,314,99
Div,13,Brunswick County ,English: Reading,Asian,0,0,0
Div,13,Brunswick County ,Mathematics,Asian,0,0,0
Div,13,Brunswick County ,Science,Asian,0,0,0
Div,13,Brunswick County ,English: Reading,Black,547,550,99
Div,13,Brunswick County ,Mathematics,Black,486,487,100
Div,13,Brunswick County ,Science,Black,240,243,99
Div,13,Brunswick County ,English: Reading,Economically Disadvantaged,524,527,99
Div,13,Brunswick County ,Mathematics,Economically Disadvantaged,471,472,100
Div,13,Brunswick County ,Science,Economically Disadvantaged,227,230,99
Div,13,Brunswick County ,English: Reading,English Learners,0,0,0
Div,13,Brunswick County ,Mathematics,English Learners,0,0,0
Div,13,Brunswick County ,Science,English Learners,0,0,0
Div,13,Brunswick County ,English: Reading,Female,356,357,100
Div,13,Brunswick County ,Mathematics,Female,317,318,100
Div,13,Brunswick County ,Science,Female,104,105,99
Div,13,Brunswick County ,English: Reading,Hispanic,32,32,100
Div,13,Brunswick County ,Mathematics,Hispanic,31,31,100
Div,13,Brunswick County ,Science,Hispanic,10,10,100
Div,13,Brunswick County ,English: Reading,Male,351,353,99
Div,13,Brunswick County ,Mathematics,Male,311,311,100
Div,13,Brunswick County ,Science,Male,110,110,100
Div,13,Brunswick County ,English: Reading,Students with Disabilities,112,113,99
Div,13,Brunswick County ,Mathematics,Students with Disabilities,99,99,100
Div,13,Brunswick County ,Science,Students with Disabilities,47,47,100
Div,13,Brunswick County ,English: Reading,White,111,111,100
Div,13,Brunswick County ,Mathematics,White,96,96,100
Div,13,Brunswick County ,Science,White,53,53,100
Div,14,Buchanan County ,English: Reading,All Students,1209,1217,99
Div,14,Buchanan County ,Mathematics,All Students,1087,1095,99
Div,14,Buchanan County ,Science,All Students,471,477,99
Div,14,Buchanan County ,English: Reading,Asian,0,0,0
Div,14,Buchanan County ,Mathematics,Asian,0,0,0
Div,14,Buchanan County ,Science,Asian,0,0,0
Div,14,Buchanan County ,English: Reading,Black,0,0,0
Div,14,Buchanan County ,Mathematics,Black,0,0,0
Div,14,Buchanan County ,Science,Black,0,0,0
Div,14,Buchanan County ,English: Reading,Economically Disadvantaged,740,748,99
Div,14,Buchanan County ,Mathematics,Economically Disadvantaged,669,674,99
Div,14,Buchanan County ,Science,Economically Disadvantaged,276,281,98
Div,14,Buchanan County ,English: Reading,English Learners,0,0,0
Div,14,Buchanan County ,Mathematics,English Learners,0,0,0
Div,14,Buchanan County ,Science,English Learners,0,0,0
Div,14,Buchanan County ,English: Reading,Female,583,586,99
Div,14,Buchanan County ,Mathematics,Female,526,527,100
Div,14,Buchanan County ,Science,Female,163,163,100
Div,14,Buchanan County ,English: Reading,Hispanic,17,17,100
Div,14,Buchanan County ,Mathematics,Hispanic,16,16,100
Div,14,Buchanan County ,Science,Hispanic,0,0,0
Div,14,Buchanan County ,English: Reading,Male,626,631,99
Div,14,Buchanan County ,Mathematics,Male,561,568,99
Div,14,Buchanan County ,Science,Male,187,187,100
Div,14,Buchanan County ,English: Reading,Students with Disabilities,252,254,99
Div,14,Buchanan County ,Mathematics,Students with Disabilities,227,231,98
Div,14,Buchanan County ,Science,Students with Disabilities,99,102,97
Div,14,Buchanan County ,English: Reading,White,1185,1193,99
Div,14,Buchanan County ,Mathematics,White,1063,1071,99
Div,14,Buchanan County ,Science,White,467,473,99
