Level,Div Num,Div Name,Subject,Subgroup,2020-2021 Pass Rate,2021-2022 Pass Rate,2022-2023 Pass Rate
Div,1,Accomack County ,Mathematics,Multiple Races,55,58,62
Div,1,Accomack County ,Science,Multiple Races,52,55,76
Div,1,Accomack County ,English: Reading,Students with Disabilities,23,32,36
Div,1,Accomack County ,English: Writing,Students with Disabilities,21,19,14
Div,1,Accomack County ,History and Social Sciences,Students with Disabilities,12,23,27
Div,1,Accomack County ,Mathematics,Students with Disabilities,25,34,35
Div,1,Accomack County ,Remote Mathematics,Students with Disabilities,<,,
Div,1,Accomack County ,Science,Students with Disabilities,21,32,34
Div,1,Accomack County ,Remote English: Reading,Students with Disabilities,<,,
Div,1,Accomack County ,English: Reading,White,72,77,79
Div,1,Accomack County ,English: Writing,White,74,75,71
Div,1,Accomack County ,History and Social Sciences,White,48,63,72
Div,1,Accomack County ,Mathematics,White,55,72,77
Div,1,Accomack County ,Remote English: Reading,White,<,,
Div,1,Accomack County ,Science,White,66,76,76
Div,1,Accomack County ,Remote Mathematics,White,<,,
Div,2,Albemarle County ,English: Reading,All Students,77,75,74
Div,2,Albemarle County ,English: Writing,All Students,80,67,73
Div,2,Albemarle County ,History and Social Sciences,All Students,67,67,73
Div,2,Albemarle County ,Mathematics,All Students,65,66,69
Div,2,Albemarle County ,Remote English: Reading,All Students,66,,
Div,2,Albemarle County ,Remote Science,All Students,53,,
Div,2,Albemarle County ,Remote Mathematics,All Students,57,,
Div,2,Albemarle County ,Science,All Students,65,62,67
Div,2,Albemarle County ,English: Reading,Asian,87,84,81
Div,2,Albemarle County ,English: Writing,Asian,83,82,84
Div,2,Albemarle County ,History and Social Sciences,Asian,84,83,88
Div,2,Albemarle County ,Mathematics,Asian,83,84,83
Div,2,Albemarle County ,Science,Asian,76,77,81
Div,2,Albemarle County ,Remote English: Reading,Asian,79,,
Div,2,Albemarle County ,Remote Science,Asian,70,,
Div,2,Albemarle County ,Remote Mathematics,Asian,75,,
Div,2,Albemarle County ,English: Reading,Black,54,50,48
Div,2,Albemarle County ,English: Writing,Black,64,29,37
Div,2,Albemarle County ,History and Social Sciences,Black,29,34,42
Div,2,Albemarle County ,Mathematics,Black,36,38,42
Div,2,Albemarle County ,Remote Science,Black,33,,
Div,2,Albemarle County ,Science,Black,36,33,35
Div,2,Albemarle County ,Remote Mathematics,Black,28,,
Div,2,Albemarle County ,Remote English: Reading,Black,36,,
Div,2,Albemarle County ,English: Reading,Economically Disadvantaged,47,51,49
Div,2,Albemarle County ,English: Writing,Economically Disadvantaged,41,37,43
Div,2,Albemarle County ,History and Social Sciences,Economically Disadvantaged,43,39,47
Div,2,Albemarle County ,Mathematics,Economically Disadvantaged,35,41,43
Div,2,Albemarle County ,Remote Science,Economically Disadvantaged,36,,
Div,2,Albemarle County ,Remote English: Reading,Economically Disadvantaged,44,,
Div,2,Albemarle County ,Science,Economically Disadvantaged,35,36,39
Div,2,Albemarle County ,Remote Mathematics,Economically Disadvantaged,37,,
Div,2,Albemarle County ,English: Reading,English Learners,18,21,24
Div,2,Albemarle County ,English: Writing,English Learners,<,<,13
Div,2,Albemarle County ,History and Social Sciences,English Learners,17,11,32
Div,2,Albemarle County ,Mathematics,English Learners,21,25,33
Div,2,Albemarle County ,Remote Mathematics,English Learners,38,,
Div,2,Albemarle County ,Remote English: Reading,English Learners,36,,
Div,2,Albemarle County ,Remote Science,English Learners,<,,
Div,2,Albemarle County ,Science,English Learners,7,10,15
Div,2,Albemarle County ,English: Reading,Female,79,76,75
Div,2,Albemarle County ,English: Writing,Female,84,75,76
Div,2,Albemarle County ,History and Social Sciences,Female,68,65,71
Div,2,Albemarle County ,Mathematics,Female,64,65,68
Div,2,Albemarle County ,Remote Mathematics,Female,50,,
Div,2,Albemarle County ,Science,Female,64,63,65
Div,2,Albemarle County ,Remote English: Reading,Female,65,,
Div,2,Albemarle County ,Remote Science,Female,47,,
Div,2,Albemarle County ,English: Reading,Hispanic,47,51,50
Div,2,Albemarle County ,English: Writing,Hispanic,43,54,50
Div,2,Albemarle County ,History and Social Sciences,Hispanic,44,46,51
Div,2,Albemarle County ,Mathematics,Hispanic,35,45,48
Div,2,Albemarle County ,Remote English: Reading,Hispanic,51,,
Div,2,Albemarle County ,Remote Mathematics,Hispanic,36,,
Div,2,Albemarle County ,Science,Hispanic,33,35,39
Div,2,Albemarle County ,Remote Science,Hispanic,36,,
Div,2,Albemarle County ,English: Reading,Male,75,74,73
Div,2,Albemarle County ,English: Writing,Male,77,58,70
Div,2,Albemarle County ,History and Social Sciences,Male,67,68,74
Div,2,Albemarle County ,Mathematics,Male,66,68,71
Div,2,Albemarle County ,Remote Mathematics,Male,63,,
Div,2,Albemarle County ,Remote Science,Male,58,,
Div,2,Albemarle County ,Remote English: Reading,Male,67,,
Div,2,Albemarle County ,Science,Male,66,61,68
Div,2,Albemarle County ,English: Reading,Multiple Races,77,78,71
Div,2,Albemarle County ,English: Writing,Multiple Races,75,60,67
Div,2,Albemarle County ,History and Social Sciences,Multiple Races,73,59,68
Div,2,Albemarle County ,Mathematics,Multiple Races,62,62,62
Div,2,Albemarle County ,Remote Science,Multiple Races,0,,
Div,2,Albemarle County ,Science,Multiple Races,60,61,64
Div,2,Albemarle County ,Remote English: Reading,Multiple Races,61,,
Div,2,Albemarle County ,Remote Mathematics,Multiple Races,57,,
Div,2,Albemarle County ,English: Reading,Students with Disabilities,49,44,45
Div,2,Albemarle County ,English: Writing,Students with Disabilities,49,19,27
Div,2,Albemarle County ,History and Social Sciences,Students with Disabilities,36,37,37
Div,2,Albemarle County ,Mathematics,Students with Disabilities,43,37,41
Div,2,Albemarle County ,Remote Mathematics,Students with Disabilities,36,,
Div,2,Albemarle County ,Science,Students with Disabilities,37,37,39
Div,2,Albemarle County ,Remote English: Reading,Students with Disabilities,43,,
Div,2,Albemarle County ,Remote Science,Students with Disabilities,40,,
Div,2,Albemarle County ,English: Reading,White,85,85,86
Div,2,Albemarle County ,English: Writing,White,85,76,83
Div,2,Albemarle County ,History and Social Sciences,White,77,77,82
Div,2,Albemarle County ,Mathematics,White,75,77,80
Div,2,Albemarle County ,Remote Mathematics,White,70,,
Div,2,Albemarle County ,Remote English: Reading,White,78,,
Div,2,Albemarle County ,Remote Science,White,70,,
Div,2,Albemarle County ,Science,White,76,75,81
Div,101,Alexandria City ,English: Reading,All Students,57,61,60
Div,101,Alexandria City ,English: Writing,All Students,82,62,65
Div,101,Alexandria City ,History and Social Sciences,All Students,45,54,56
Div,101,Alexandria City ,Mathematics,All Students,40,49,53
Div,101,Alexandria City ,Remote Science,All Students,62,,
Div,101,Alexandria City ,Remote Mathematics,All Students,50,,
Div,101,Alexandria City ,Science,All Students,44,49,52
Div,101,Alexandria City ,Remote English: Reading,All Students,61,,
Div,101,Alexandria City ,English: Reading,Asian,57,66,61
Div,101,Alexandria City ,English: Writing,Asian,86,74,74
Div,101,Alexandria City ,History and Social Sciences,Asian,43,58,66
Div,101,Alexandria City ,Mathematics,Asian,44,49,59
Div,101,Alexandria City ,Remote Science,Asian,62,,
Div,101,Alexandria City ,Remote Mathematics,Asian,61,,
Div,101,Alexandria City ,Science,Asian,35,50,56
Div,101,Alexandria City ,Remote English: Reading,Asian,74,,
Div,101,Alexandria City ,English: Reading,Black,53,57,56
Div,101,Alexandria City ,English: Writing,Black,70,56,56
Div,101,Alexandria City ,History and Social Sciences,Black,43,48,47
Div,101,Alexandria City ,Mathematics,Black,32,40,46
Div,101,Alexandria City ,Remote Mathematics,Black,46,,
Div,101,Alexandria City ,Remote Science,Black,61,,
Div,101,Alexandria City ,Remote English: Reading,Black,57,,
Div,101,Alexandria City ,Science,Black,39,42,46
Div,101,Alexandria City ,English: Reading,Economically Disadvantaged,41,47,46
Div,101,Alexandria City ,English: Writing,Economically Disadvantaged,74,52,52
Div,101,Alexandria City ,History and Social Sciences,Economically Disadvantaged,29,41,43
Div,101,Alexandria City ,Mathematics,Economically Disadvantaged,23,36,40
Div,101,Alexandria City ,Science,Economically Disadvantaged,26,34,40
Div,101,Alexandria City ,Remote English: Reading,Economically Disadvantaged,48,,
Div,101,Alexandria City ,Remote Science,Economically Disadvantaged,52,,
Div,101,Alexandria City ,Remote Mathematics,Economically Disadvantaged,38,,
Div,101,Alexandria City ,English: Reading,English Learners,16,27,26
Div,101,Alexandria City ,English: Writing,English Learners,30,16,10
Div,101,Alexandria City ,History and Social Sciences,English Learners,10,24,30
Div,101,Alexandria City ,Mathematics,English Learners,10,23,29
Div,101,Alexandria City ,Remote Science,English Learners,22,,
Div,101,Alexandria City ,Remote English: Reading,English Learners,23,,
Div,101,Alexandria City ,Science,English Learners,3,15,22
Div,101,Alexandria City ,Remote Mathematics,English Learners,19,,
Div,101,Alexandria City ,English: Reading,Female,62,64,63
Div,101,Alexandria City ,English: Writing,Female,86,66,71
Div,101,Alexandria City ,History and Social Sciences,Female,46,53,55
Div,101,Alexandria City ,Mathematics,Female,41,49,51
Div,101,Alexandria City ,Science,Female,47,49,52
Div,101,Alexandria City ,Remote Science,Female,60,,
Div,101,Alexandria City ,Remote Mathematics,Female,51,,
Div,101,Alexandria City ,Remote English: Reading,Female,66,,
Div,101,Alexandria City ,English: Reading,Hispanic,38,44,44
Div,101,Alexandria City ,English: Writing,Hispanic,72,51,52
Div,101,Alexandria City ,History and Social Sciences,Hispanic,23,38,42
Div,101,Alexandria City ,Mathematics,Hispanic,20,34,38
Div,101,Alexandria City ,Remote Mathematics,Hispanic,30,,
Div,101,Alexandria City ,Remote English: Reading,Hispanic,43,,
Div,101,Alexandria City ,Science,Hispanic,23,32,37
Div,101,Alexandria City ,Remote Science,Hispanic,47,,
Div,101,Alexandria City ,English: Reading,Male,54,58,58
Div,101,Alexandria City ,English: Writing,Male,77,59,59
Div,101,Alexandria City ,History and Social Sciences,Male,44,55,57
Div,101,Alexandria City ,Mathematics,Male,38,48,54
Div,101,Alexandria City ,Remote Science,Male,64,,
Div,101,Alexandria City ,Science,Male,40,48,52
Div,101,Alexandria City ,Remote Mathematics,Male,49,,
Div,101,Alexandria City ,Remote English: Reading,Male,56,,
Div,101,Alexandria City ,English: Reading,Multiple Races,78,78,77
Div,101,Alexandria City ,English: Writing,Multiple Races,94,79,76
Div,101,Alexandria City ,History and Social Sciences,Multiple Races,70,74,73
Div,101,Alexandria City ,Mathematics,Multiple Races,61,67,71
Div,101,Alexandria City ,Remote English: Reading,Multiple Races,81,,
Div,101,Alexandria City ,Science,Multiple Races,68,72,74
Div,101,Alexandria City ,Remote Science,Multiple Races,82,,
Div,101,Alexandria City ,Remote Mathematics,Multiple Races,76,,
Div,101,Alexandria City ,English: Reading,Students with Disabilities,29,27,27
Div,101,Alexandria City ,English: Writing,Students with Disabilities,42,22,20
Div,101,Alexandria City ,History and Social Sciences,Students with Disabilities,33,22,24
Div,101,Alexandria City ,Mathematics,Students with Disabilities,20,20,24
Div,101,Alexandria City ,Science,Students with Disabilities,21,22,20
Div,101,Alexandria City ,Remote Mathematics,Students with Disabilities,28,,
Div,101,Alexandria City ,Remote English: Reading,Students with Disabilities,30,,
Div,101,Alexandria City ,Remote Science,Students with Disabilities,53,,
Div,101,Alexandria City ,English: Reading,White,83,87,84
Div,101,Alexandria City ,English: Writing,White,96,86,88
Div,101,Alexandria City ,History and Social Sciences,White,79,83,84
Div,101,Alexandria City ,Mathematics,White,68,77,78
Div,101,Alexandria City ,Remote English: Reading,White,78,,
Div,101,Alexandria City ,Remote Science,White,82,,
Div,101,Alexandria City ,Remote Mathematics,White,73,,
Div,101,Alexandria City ,Science,White,77,80,80
Div,3,Alleghany Highlands ,English: Reading,All Students,64,69,67
Div,3,Alleghany Highlands ,English: Writing,All Students,48,50,51
Div,3,Alleghany Highlands ,History and Social Sciences,All Students,53,60,56
Div,3,Alleghany Highlands ,Mathematics,All Students,52,61,60
Div,3,Alleghany Highlands ,Science,All Students,59,57,54
Div,3,Alleghany Highlands ,English: Reading,Asian,<,91,<
Div,3,Alleghany Highlands ,English: Writing,Asian,<,<,<
Div,3,Alleghany Highlands ,History and Social Sciences,Asian,<,<,<
Div,3,Alleghany Highlands ,Mathematics,Asian,<,<,<
Div,3,Alleghany Highlands ,Science,Asian,<,<,<
Div,3,Alleghany Highlands ,English: Reading,Black,40,51,64
Div,3,Alleghany Highlands ,English: Writing,Black,26,16,36
Div,3,Alleghany Highlands ,History and Social Sciences,Black,50,47,46
Div,3,Alleghany Highlands ,Mathematics,Black,24,44,50
Div,3,Alleghany Highlands ,Science,Black,14,34,40
Div,3,Alleghany Highlands ,English: Reading,Economically Disadvantaged,55,61,59
Div,3,Alleghany Highlands ,English: Writing,Economically Disadvantaged,37,36,37
Div,3,Alleghany Highlands ,History and Social Sciences,Economically Disadvantaged,47,52,47
Div,3,Alleghany Highlands ,Mathematics,Economically Disadvantaged,42,51,52
Div,3,Alleghany Highlands ,Science,Economically Disadvantaged,51,48,46
Div,3,Alleghany Highlands ,English: Reading,English Learners,,20,15
Div,3,Alleghany Highlands ,English: Writing,English Learners,<,<,<
Div,3,Alleghany Highlands ,History and Social Sciences,English Learners,<,<,<
Div,3,Alleghany Highlands ,Mathematics,English Learners,<,36,47
Div,3,Alleghany Highlands ,Science,English Learners,<,<,<
Div,3,Alleghany Highlands ,English: Reading,Female,67,72,71
Div,3,Alleghany Highlands ,English: Writing,Female,54,58,60
Div,3,Alleghany Highlands ,History and Social Sciences,Female,42,57,53
Div,3,Alleghany Highlands ,Mathematics,Female,50,60,62
Div,3,Alleghany Highlands ,Science,Female,58,55,53
Div,3,Alleghany Highlands ,English: Reading,Hispanic,87,55,48
Div,3,Alleghany Highlands ,English: Writing,Hispanic,<,42,29
Div,3,Alleghany Highlands ,History and Social Sciences,Hispanic,<,65,51
Div,3,Alleghany Highlands ,Mathematics,Hispanic,77,47,54
Div,3,Alleghany Highlands ,Science,Hispanic,<,55,45
Div,3,Alleghany Highlands ,English: Reading,Male,62,67,62
Div,3,Alleghany Highlands ,English: Writing,Male,45,43,43
Div,3,Alleghany Highlands ,History and Social Sciences,Male,61,63,58
Div,3,Alleghany Highlands ,Mathematics,Male,54,62,58
Div,3,Alleghany Highlands ,Science,Male,59,60,54
Div,3,Alleghany Highlands ,English: Reading,Multiple Races,<,62,68
Div,3,Alleghany Highlands ,English: Writing,Multiple Races,<,47,52
Div,3,Alleghany Highlands ,History and Social Sciences,Multiple Races,<,38,42
Div,3,Alleghany Highlands ,Mathematics,Multiple Races,92,49,56
Div,3,Alleghany Highlands ,Science,Multiple Races,73,44,49
Div,3,Alleghany Highlands ,English: Reading,Students with Disabilities,35,41,36
Div,3,Alleghany Highlands ,English: Writing,Students with Disabilities,21,11,12
Div,3,Alleghany Highlands ,History and Social Sciences,Students with Disabilities,22,32,23
Div,3,Alleghany Highlands ,Mathematics,Students with Disabilities,30,31,33
Div,3,Alleghany Highlands ,Science,Students with Disabilities,21,33,24
Div,3,Alleghany Highlands ,English: Reading,White,66,72,68
Div,3,Alleghany Highlands ,English: Writing,White,49,54,54
Div,3,Alleghany Highlands ,History and Social Sciences,White,54,62,58
Div,3,Alleghany Highlands ,Mathematics,White,53,64,61
Div,3,Alleghany Highlands ,Science,White,60,60,56
Div,4,Amelia County ,English: Reading,All Students,64,65,61
Div,4,Amelia County ,English: Writing,All Students,<,56,44
Div,4,Amelia County ,History and Social Sciences,All Students,44,55,52
Div,4,Amelia County ,Mathematics,All Students,44,60,59
Div,4,Amelia County ,Remote Science,All Students,64,,
Div,4,Amelia County ,Science,All Students,47,56,58
Div,4,Amelia County ,Remote English: Reading,All Students,68,,
Div,4,Amelia County ,Remote Mathematics,All Students,60,,
Div,4,Amelia County ,English: Reading,Asian,<,,
Div,4,Amelia County ,Mathematics,Asian,<,,
Div,4,Amelia County ,Science,Asian,<,,
Div,4,Amelia County ,English: Reading,Black,48,53,52
Div,4,Amelia County ,English: Writing,Black,,38,23
Div,4,Amelia County ,History and Social Sciences,Black,21,39,41
Div,4,Amelia County ,Mathematics,Black,29,47,46
Div,4,Amelia County ,Science,Black,17,42,36
Div,4,Amelia County ,Remote Mathematics,Black,42,,
Div,4,Amelia County ,Remote Science,Black,<,,
Div,4,Amelia County ,Remote English: Reading,Black,57,,
Div,4,Amelia County ,English: Reading,Economically Disadvantaged,56,57,50
Div,4,Amelia County ,English: Writing,Economically Disadvantaged,<,50,27
Div,4,Amelia County ,History and Social Sciences,Economically Disadvantaged,34,47,47
Div,4,Amelia County ,Mathematics,Economically Disadvantaged,35,52,50
Div,4,Amelia County ,Remote English: Reading,Economically Disadvantaged,55,,
Div,4,Amelia County ,Remote Science,Economically Disadvantaged,<,,
Div,4,Amelia County ,Remote Mathematics,Economically Disadvantaged,57,,
Div,4,Amelia County ,Science,Economically Disadvantaged,37,48,47
Div,4,Amelia County ,English: Reading,English Learners,22,27,12
Div,4,Amelia County ,History and Social Sciences,English Learners,<,<,33
Div,4,Amelia County ,Mathematics,English Learners,13,25,31
Div,4,Amelia County ,Science,English Learners,<,11,20
Div,4,Amelia County ,English: Reading,Female,68,68,65
Div,4,Amelia County ,English: Writing,Female,<,65,48
Div,4,Amelia County ,History and Social Sciences,Female,43,50,46
Div,4,Amelia County ,Mathematics,Female,43,60,61
Div,4,Amelia County ,Remote Science,Female,67,,
Div,4,Amelia County ,Remote Mathematics,Female,73,,
Div,4,Amelia County ,Science,Female,47,54,55
Div,4,Amelia County ,Remote English: Reading,Female,75,,
Div,4,Amelia County ,English: Reading,Hispanic,56,51,48
Div,4,Amelia County ,English: Writing,Hispanic,,<,<
Div,4,Amelia County ,History and Social Sciences,Hispanic,58,48,46
Div,4,Amelia County ,Mathematics,Hispanic,34,57,50
Div,4,Amelia County ,Remote English: Reading,Hispanic,<,,
Div,4,Amelia County ,Remote Mathematics,Hispanic,<,,
Div,4,Amelia County ,Remote Science,Hispanic,<,,
Div,4,Amelia County ,Science,Hispanic,35,51,59
Div,4,Amelia County ,English: Reading,Male,60,63,57
Div,4,Amelia County ,English: Writing,Male,<,42,41
Div,4,Amelia County ,History and Social Sciences,Male,44,60,59
Div,4,Amelia County ,Mathematics,Male,46,59,58
Div,4,Amelia County ,Remote Science,Male,<,,
Div,4,Amelia County ,Remote Mathematics,Male,45,,
Div,4,Amelia County ,Remote English: Reading,Male,58,,
Div,4,Amelia County ,Science,Male,48,59,60
Div,4,Amelia County ,English: Reading,Multiple Races,50,51,55
Div,4,Amelia County ,English: Writing,Multiple Races,,<,37
Div,4,Amelia County ,History and Social Sciences,Multiple Races,31,41,59
Div,4,Amelia County ,Mathematics,Multiple Races,45,45,53
Div,4,Amelia County ,Remote English: Reading,Multiple Races,82,,
Div,4,Amelia County ,Remote Science,Multiple Races,<,,
Div,4,Amelia County ,Remote Mathematics,Multiple Races,<,,
Div,4,Amelia County ,Science,Multiple Races,57,54,44
Div,4,Amelia County ,English: Reading,Students with Disabilities,39,47,32
Div,4,Amelia County ,English: Writing,Students with Disabilities,<,8,18
Div,4,Amelia County ,History and Social Sciences,Students with Disabilities,15,15,17
Div,4,Amelia County ,Mathematics,Students with Disabilities,29,43,36
Div,4,Amelia County ,Remote English: Reading,Students with Disabilities,<,,
Div,4,Amelia County ,Remote Mathematics,Students with Disabilities,<,,
Div,4,Amelia County ,Science,Students with Disabilities,29,21,28
Div,4,Amelia County ,Remote Science,Students with Disabilities,<,,
Div,4,Amelia County ,English: Reading,White,70,72,65
Div,4,Amelia County ,English: Writing,White,<,58,48
Div,4,Amelia County ,History and Social Sciences,White,52,61,54
Div,4,Amelia County ,Mathematics,White,50,65,65
Div,4,Amelia County ,Remote English: Reading,White,67,,
Div,4,Amelia County ,Science,White,57,62,65
Div,4,Amelia County ,Remote Mathematics,White,63,,
Div,4,Amelia County ,Remote Science,White,<,,
Div,5,Amherst County ,English: Reading,All Students,64,65,70
Div,5,Amherst County ,English: Writing,All Students,63,61,63
Div,5,Amherst County ,History and Social Sciences,All Students,70,52,58
Div,5,Amherst County ,Mathematics,All Students,40,56,63
Div,5,Amherst County ,Science,All Students,47,52,58
Div,5,Amherst County ,Remote Mathematics,All Students,40,,
Div,5,Amherst County ,Remote English: Reading,All Students,49,,
Div,5,Amherst County ,Remote Science,All Students,38,,
Div,5,Amherst County ,English: Reading,Asian,<,70,85
Div,5,Amherst County ,English: Writing,Asian,,<,<
Div,5,Amherst County ,History and Social Sciences,Asian,,<,<
Div,5,Amherst County ,Mathematics,Asian,<,<,85
Div,5,Amherst County ,Science,Asian,<,<,<
Div,5,Amherst County ,English: Reading,Black,52,52,59
Div,5,Amherst County ,English: Writing,Black,<,46,53
Div,5,Amherst County ,History and Social Sciences,Black,<,39,43
Div,5,Amherst County ,Mathematics,Black,23,44,51
Div,5,Amherst County ,Remote English: Reading,Black,41,,
Div,5,Amherst County ,Remote Science,Black,<,,
Div,5,Amherst County ,Science,Black,28,33,42
Div,5,Amherst County ,Remote Mathematics,Black,35,,
Div,5,Amherst County ,English: Reading,Economically Disadvantaged,55,59,64
Div,5,Amherst County ,English: Writing,Economically Disadvantaged,<,50,52
Div,5,Amherst County ,History and Social Sciences,Economically Disadvantaged,82,43,48
Div,5,Amherst County ,Mathematics,Economically Disadvantaged,29,47,54
Div,5,Amherst County ,Remote Science,Economically Disadvantaged,31,,
Div,5,Amherst County ,Science,Economically Disadvantaged,34,43,45
Div,5,Amherst County ,Remote English: Reading,Economically Disadvantaged,43,,
Div,5,Amherst County ,Remote Mathematics,Economically Disadvantaged,35,,
Div,5,Amherst County ,English: Reading,English Learners,55,50,50
Div,5,Amherst County ,English: Writing,English Learners,,<,<
Div,5,Amherst County ,History and Social Sciences,English Learners,,<,31
Div,5,Amherst County ,Mathematics,English Learners,50,46,56
Div,5,Amherst County ,Science,English Learners,<,<,24
Div,5,Amherst County ,English: Reading,Female,66,66,71
Div,5,Amherst County ,English: Writing,Female,<,69,69
Div,5,Amherst County ,History and Social Sciences,Female,<,48,54
Div,5,Amherst County ,Mathematics,Female,37,55,63
Div,5,Amherst County ,Remote Science,Female,<,,
Div,5,Amherst County ,Remote English: Reading,Female,57,,
Div,5,Amherst County ,Science,Female,46,50,57
Div,5,Amherst County ,Remote Mathematics,Female,39,,
Div,5,Amherst County ,English: Reading,Hispanic,57,75,76
Div,5,Amherst County ,English: Writing,Hispanic,<,77,68
Div,5,Amherst County ,History and Social Sciences,Hispanic,<,60,64
Div,5,Amherst County ,Mathematics,Hispanic,47,65,70
Div,5,Amherst County ,Remote Science,Hispanic,<,,
Div,5,Amherst County ,Remote English: Reading,Hispanic,<,,
Div,5,Amherst County ,Remote Mathematics,Hispanic,<,,
Div,5,Amherst County ,Science,Hispanic,40,69,55
Div,5,Amherst County ,English: Reading,Male,61,64,69
Div,5,Amherst County ,English: Writing,Male,57,53,56
Div,5,Amherst County ,History and Social Sciences,Male,69,57,62
Div,5,Amherst County ,Mathematics,Male,42,57,64
Div,5,Amherst County ,Remote Science,Male,53,,
Div,5,Amherst County ,Science,Male,47,54,59
Div,5,Amherst County ,Remote English: Reading,Male,43,,
Div,5,Amherst County ,Remote Mathematics,Male,41,,
Div,5,Amherst County ,English: Reading,Multiple Races,61,68,67
Div,5,Amherst County ,English: Writing,Multiple Races,<,55,63
Div,5,Amherst County ,History and Social Sciences,Multiple Races,<,59,54
Div,5,Amherst County ,Mathematics,Multiple Races,35,56,63
Div,5,Amherst County ,Remote English: Reading,Multiple Races,<,,
Div,5,Amherst County ,Remote Mathematics,Multiple Races,<,,
Div,5,Amherst County ,Remote Science,Multiple Races,<,,
Div,5,Amherst County ,Science,Multiple Races,39,46,63
Div,5,Amherst County ,English: Reading,Students with Disabilities,40,40,43
Div,5,Amherst County ,English: Writing,Students with Disabilities,64,23,15
Div,5,Amherst County ,History and Social Sciences,Students with Disabilities,73,27,29
Div,5,Amherst County ,Mathematics,Students with Disabilities,24,39,39
Div,5,Amherst County ,Remote Mathematics,Students with Disabilities,17,,
Div,5,Amherst County ,Science,Students with Disabilities,21,29,29
Div,5,Amherst County ,Remote Science,Students with Disabilities,<,,
Div,5,Amherst County ,Remote English: Reading,Students with Disabilities,27,,
Div,5,Amherst County ,English: Reading,White,67,68,74
Div,5,Amherst County ,English: Writing,White,<,64,65
Div,5,Amherst County ,History and Social Sciences,White,60,55,62
Div,5,Amherst County ,Mathematics,White,44,59,66
Div,5,Amherst County ,Remote Science,White,43,,
Div,5,Amherst County ,Remote Mathematics,White,42,,
Div,5,Amherst County ,Remote English: Reading,White,55,,
Div,5,Amherst County ,Science,White,53,57,62
